iter	Passed	Remaining
492	573	589
493	574	588
494	575	587
495	576	586
496	577	584
497	578	583
498	580	582
499	581	581
500	582	580
501	583	578
502	584	577
503	585	576
504	586	575
505	587	573
506	588	572
507	590	571
508	591	570
509	592	568
510	593	567
511	594	566
512	595	564
513	596	563
514	597	562
515	598	561
516	599	559
517	600	558
518	601	557
519	602	556
520	603	554
521	604	553
522	605	552
523	606	550
524	607	549
525	608	548
526	609	547
527	610	546
528	611	544
529	613	543
530	614	542
531	615	541
532	616	540
533	617	538
534	618	537
535	619	536
536	621	535
537	622	534
538	623	533
539	624	531
540	625	530
541	626	529
542	627	528
543	628	526
544	629	525
545	630	524
546	631	523
547	632	521
548	633	520
549	634	519
550	635	517
551	636	516
552	637	515
553	638	514
554	639	512
555	640	511
556	641	510
557	642	508
558	643	507
559	644	506
560	645	505
561	646	503
562	647	502
563	648	501
564	649	499
565	650	498
566	651	497
567	652	496
568	653	494
569	654	493
570	655	492
571	656	491
572	657	489
573	658	488
574	659	487
575	660	486
576	661	484
577	662	483
578	663	482
579	664	481
580	665	479
581	666	478
582	668	477
583	669	476
584	669	475
585	670	473
586	671	472
587	672	471
588	673	470
589	674	468
590	675	467
591	676	466
592	677	465
593	678	463
594	679	462
595	680	461
596	682	460
597	683	459
598	683	457
599	684	456
600	685	455
601	686	453
602	687	452
603	688	451
604	689	450
605	690	449
606	691	447
607	692	446
608	693	445
609	694	444
610	695	442
611	696	441
612	697	440
613	698	439
614	699	437
615	700	436
616	701	435
617	702	434
618	703	433
619	704	431
620	705	430
621	706	429
622	707	428
623	708	426
624	709	425
625	710	424
626	711	423
627	712	422
628	713	420
629	714	419
630	715	418
631	716	417
632	717	416
633	719	415
634	720	414
635	721	412
636	722	411
637	723	410
638	724	409
639	725	408
640	727	407
641	728	406
642	729	404
643	730	403
644	731	402
645	732	401
646	734	400
647	735	399
648	736	398
649	737	397
650	738	395
651	739	394
652	740	393
653	741	392
654	742	391
655	744	390
656	745	388
657	746	387
658	747	386
659	748	385
660	749	384
661	750	383
662	751	382
663	752	380
664	753	379
665	754	378
666	756	377
667	757	376
668	758	375
669	759	374
670	760	372
671	761	371
672	762	370
673	763	369
674	764	368
675	765	366
676	766	365
677	767	364
678	768	363
679	769	361
680	770	360
681	770	359
682	771	358
683	773	357
684	774	356
685	775	354
686	776	353
687	777	352
688	778	351
689	779	350
690	780	348
691	781	347
692	782	346
693	783	345
694	784	344
695	785	343
696	787	342
697	788	340
698	789	339
699	790	338
700	791	337
701	792	336
702	793	335
703	795	334
704	796	333
705	797	331
706	798	330
707	799	329
708	800	328
709	801	327
710	802	326
711	803	324
712	804	323
713	805	322
714	806	321
715	807	320
716	808	319
717	809	318
718	810	316
719	811	315
720	812	314
721	813	313
722	814	312
723	815	310
724	816	309
725	817	308
726	818	307
727	819	306
728	820	305
729	821	303
730	822	302
731	823	301
732	824	300
733	825	299
734	826	297
735	827	296
736	828	295
737	828	294
738	830	293
739	831	291
740	832	290
741	832	289
742	834	288
743	835	287
744	836	286
745	837	285
746	837	283
747	838	282
748	839	281
749	840	280
750	841	279
751	842	277
752	843	276
753	844	275
754	845	274
755	846	273
756	847	272
757	848	270
758	849	269
759	850	268
760	851	267
761	852	266
762	853	265
763	854	263
764	855	262
765	856	261
766	857	260
767	858	259
768	859	258
769	860	256
770	861	255
771	861	254
772	862	253
773	863	252
774	864	251
775	865	249
776	867	248
777	868	247
778	869	246
779	870	245
780	871	244
781	872	243
782	874	242
783	875	241
784	876	240
785	877	238
786	878	237
787	879	236
788	881	235
789	882	234
790	883	233
791	884	232
792	885	231
793	886	230
794	888	228
795	889	227
796	890	226
797	891	225
798	892	224
799	893	223
800	894	222
801	895	221
802	896	220
803	897	218
804	899	217
805	900	216
806	901	215
807	902	214
808	903	213
809	904	212
810	905	211
811	906	209
812	907	208
813	908	207
814	909	206
815	910	205
816	912	204
817	913	203
818	914	202
819	915	200
820	916	199
821	917	198
822	918	197
823	919	196
824	920	195
825	921	194
826	923	193
827	924	191
828	925	190
829	926	189
830	927	188
831	928	187
832	929	186
833	931	185
834	932	184
835	933	183
836	934	182
837	935	180
838	936	179
839	937	178
840	938	177
841	939	176
842	940	175
843	941	174
844	942	172
845	943	171
846	944	170
847	945	169
848	946	168
849	947	167
850	948	166
851	949	164
852	950	163
853	951	162
854	952	161
855	953	160
856	954	159
857	955	158
858	956	156
859	957	155
860	958	154
861	959	153
862	960	152
863	961	151
864	962	150
865	963	149
866	964	147
867	965	146
868	966	145
869	967	144
870	968	143
871	969	142
872	970	141
873	971	140
874	973	139
875	974	137
876	975	136
877	976	135
878	977	134
879	978	133
880	979	132
881	980	131
882	981	130
883	982	128
884	983	127
885	984	126
886	985	125
887	986	124
888	987	123
889	988	122
890	989	121
891	990	119
892	991	118
893	992	117
894	993	116
895	994	115
896	995	114
897	996	113
898	997	112
899	998	110
900	999	109
901	1000	108
902	1001	107
903	1002	106
904	1003	105
905	1004	104
906	1005	103
907	1006	101
908	1007	100
909	1008	99
910	1009	98
911	1010	97
912	1011	96
913	1012	95
914	1013	94
915	1014	93
916	1015	91
917	1016	90
918	1017	89
919	1018	88
920	1019	87
921	1020	86
922	1021	85
923	1022	84
924	1023	82
925	1024	81
926	1025	80
927	1026	79
928	1027	78
929	1028	77
930	1029	76
931	1030	75
932	1031	74
933	1032	72
934	1033	71
935	1034	70
936	1035	69
937	1036	68
938	1037	67
939	1038	66
940	1039	65
941	1040	64
942	1041	62
943	1042	61
944	1043	60
945	1044	59
946	1045	58
947	1046	57
948	1047	56
949	1048	55
950	1049	54
951	1050	52
952	1051	51
953	1052	50
954	1053	49
955	1054	48
956	1055	47
957	1056	46
958	1057	45
959	1058	44
960	1059	42
961	1060	41
962	1061	40
963	1062	39
964	1063	38
965	1063	37
966	1064	36
967	1065	35
968	1066	34
969	1068	33
970	1069	31
971	1070	30
972	1071	29
973	1072	28
974	1073	27
975	1074	26
976	1075	25
977	1076	24
978	1077	23
979	1078	22
980	1079	20
981	1080	19
982	1081	18
983	1082	17
984	1083	16
985	1084	15
986	1085	14
987	1086	13
988	1087	12
989	1088	10
990	1090	9
991	1091	8
992	1092	7
993	1093	6
994	1094	5
995	1095	4
996	1096	3
997	1097	2
998	1098	1
999	1099	0
