iter	RMSE
672	59595.28687
673	59586.14625
674	59571.5392
675	59554.44112
676	59508.13369
677	59464.99797
678	59450.95006
679	59374.59143
680	59365.04288
681	59355.61994
682	59341.6993
683	59291.47531
684	59281.75914
685	59272.409
686	59263.09536
687	59239.68237
688	59230.41531
689	59210.24516
690	59140.63587
691	59131.38097
692	59082.23424
693	59029.20553
694	58984.44151
695	58975.38546
696	58966.26577
697	58903.55449
698	58894.22389
699	58885.0314
700	58876.02301
701	58862.62746
702	58845.1456
703	58821.33881
704	58764.14555
705	58755.17849
706	58704.07796
707	58685.67584
708	58676.78938
709	58663.63631
710	58645.25639
711	58635.37679
712	58583.19554
713	58574.33756
714	58565.52625
715	58548.79734
716	58540.07533
717	58453.49203
718	58444.76752
719	58363.22958
720	58340.4119
721	58293.96766
722	58285.3079
723	58276.73681
724	58264.23767
725	58215.72805
726	58201.99192
727	58193.47813
728	58116.96255
729	58108.49492
730	58077.51813
731	58006.48117
732	57952.97772
733	57920.43968
734	57911.99214
735	57889.89478
736	57868.4526
737	57832.96267
738	57802.73916
739	57768.66095
740	57746.39094
741	57697.77171
742	57689.39386
743	57671.53443
744	57663.20508
745	57588.54959
746	57580.28817
747	57553.45582
748	57545.39891
749	57492.21241
750	57482.99421
751	57451.89723
752	57443.87155
753	57435.59998
754	57385.15871
755	57377.29586
756	57310.91796
757	57302.80583
758	57294.80909
759	57264.53274
760	57250.46444
761	57218.51344
762	57176.25291
763	57167.34829
764	57124.27424
765	57089.21995
766	57081.22813
767	57073.14228
768	57065.23924
769	57057.34273
770	56990.83975
771	56941.37879
772	56933.49283
773	56924.77764
774	56878.23651
775	56870.42666
776	56829.08345
777	56821.33235
778	56811.84028
779	56804.17348
780	56747.57669
781	56739.90695
782	56732.31822
783	56724.77279
784	56717.27959
785	56709.82244
786	56669.92217
787	56630.66391
788	56565.77187
789	56548.59963
790	56537.21859
791	56524.26902
792	56511.67651
793	56504.20979
794	56496.82025
795	56489.47418
796	56482.41084
797	56470.34448
798	56452.48084
799	56408.65257
800	56370.07392
801	56361.92145
802	56326.5366
803	56292.18494
804	56284.23932
805	56276.98818
806	56246.75575
807	56239.53021
808	56227.59588
809	56203.17669
810	56170.19163
811	56126.52802
812	56119.31567
813	56072.28752
814	56054.58043
815	56047.66793
816	56040.5661
817	56033.49704
818	56026.45999
819	56010.70179
820	55958.17028
821	55951.31154
822	55944.2865
823	55880.35704
824	55873.69865
825	55866.75715
826	55859.83024
827	55848.0728
828	55841.09335
829	55801.77284
830	55751.67877
831	55744.77597
832	55738.18653
833	55710.75047
834	55695.77735
835	55676.0394
836	55666.39456
837	55659.90517
838	55642.15435
839	55629.59506
840	55580.95868
841	55574.0846
842	55567.27836
843	55560.523
844	55543.36676
845	55528.83218
846	55522.41608
847	55515.76945
848	55509.46964
849	55497.93922
850	55491.34496
851	55453.9691
852	55447.59409
853	55441.04564
854	55433.55207
855	55408.60791
856	55388.74511
857	55382.24912
858	55375.79271
859	55359.40671
860	55352.1004
861	55315.49125
862	55297.72777
863	55291.59396
864	55255.93258
865	55236.42566
866	55219.03344
867	55157.89693
868	55135.40025
869	55120.18681
870	55114.03425
871	55107.65365
872	55101.33087
873	55095.03171
874	55056.25405
875	55049.93595
876	55014.44113
877	55008.3914
878	54997.14153
879	54991.20922
880	54972.40339
881	54929.99602
882	54923.58265
883	54907.73249
884	54812.27718
885	54806.62668
886	54789.5233
887	54783.29977
888	54754.2422
889	54704.82244
890	54698.64841
891	54692.50039
892	54686.41206
893	54680.35453
894	54674.61574
895	54668.61336
896	54648.79086
897	54609.81629
898	54592.31544
899	54579.37
900	54564.18749
901	54548.7581
902	54542.77731
903	54537.15448
904	54514.65383
905	54498.43003
906	54482.2244
907	54451.41553
908	54431.76933
909	54425.86135
910	54419.9718
911	54404.69526
912	54382.9637
913	54377.10028
914	54361.46116
915	54343.9367
916	54338.09426
917	54322.88193
918	54312.3812
919	54289.48786
920	54283.68485
921	54249.85567
922	54232.7124
923	54227.2001
924	54221.45004
925	54216.02995
926	54200.35236
927	54122.10443
928	54116.2905
929	54107.74474
930	54102.01073
931	54088.57674
932	54058.4645
933	54048.22472
934	54036.91289
935	54031.23635
936	54025.60788
937	54001.41174
938	53995.81466
939	53990.23856
940	53929.81367
941	53924.54702
942	53895.75566
943	53885.69583
944	53871.43037
945	53865.88007
946	53851.20472
947	53836.52536
948	53796.52398
949	53787.93963
950	53782.43174
951	53776.95197
952	53761.28743
953	53743.46808
954	53735.19051
955	53729.73034
956	53724.30935
957	53718.90855
958	53709.06433
959	53703.70356
960	53687.35033
961	53620.6602
962	53606.56778
963	53601.10567
964	53595.7201
965	53587.50286
966	53561.54511
967	53556.20327
968	53537.71903
969	53499.15649
970	53484.29566
971	53478.9957
972	53466.26372
973	53445.09111
974	53431.72302
975	53412.92814
976	53387.30524
977	53382.0105
978	53370.535
979	53340.40135
980	53335.134
981	53329.87951
982	53324.64461
983	53308.10581
984	53293.47782
985	53279.34204
986	53274.12545
987	53260.09884
988	53254.9194
989	53243.23385
990	53225.21067
991	53215.40717
992	53210.24202
993	53196.82248
994	53183.15423
995	53170.52963
996	53157.63634
997	53144.06682
998	53116.76339
999	53111.61075
