0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
SUB-JA-2018-88165,JUDICIAL EN VÍA DE APREMIO,1828 0000 06 0010 15,22-02-2018 18:00:00 CET (ISO: 2018-02-22T18:00:00+01:00),14-03-2018 18:29:37 CET (ISO: 2018-03-14T18:29:37+01:00),"36.798,97 €",BOE-B-2018-9856,"56.797,25 €","0,00 €",Sin puja mínima,Sin tramos,"2.839,86 €",VER EDICTO,14900,LUCENA,Córdoba,"51.425,69 €"
SUB-JA-2018-89007,JUDICIAL EN VÍA DE APREMIO,2682 2682 06 1053 14,22-02-2018 18:00:00 CET (ISO: 2018-02-22T18:00:00+01:00),14-03-2018 21:27:04 CET (ISO: 2018-03-14T21:27:04+01:00),"111.449,63 €",BOE-B-2018-9870,"195.571,00 €","0,00 €",Sin puja mínima,Sin tramos,"9.778,55 €",CALLE DOS DE MAYO Nº60 2ºA,28934,MOSTOLES,Madrid,"97.785,50 €"
SUB-JA-2018-88346,JUDICIAL EN VÍA DE APREMIO,2348 0000 06 1241 15,20-02-2018 18:00:00 CET (ISO: 2018-02-20T18:00:00+01:00),13-03-2018 03:49:20 CET (ISO: 2018-03-13T03:49:20+01:00),"386.786,82 €",BOE-B-2018-9193,"531.200,00 €","531.200,00 €",Sin puja mínima,Sin tramos,"26.560,00 €",CALLE MARIE CURIE Nº 19,28700,SAN SEBASTIÁN DE LOS REYES,Madrid,"469.001,00 €"
SUB-NE-2018-345599,NOTARIAL EN VENTA EXTRAJUDICIAL,20-02-2018 18:00:00 CET (ISO: 2018-02-20T18:00:00+01:00),12-03-2018 18:00:00 CET (ISO: 2018-03-12T18:00:00+01:00),"279.604,92 €",BOE-B-2018-9783,No consta,"250.746,86 €",Sin puja mínima,Sin tramos,"12.537,34 €","Sant Erasme, número 10, 2º 2ª",Barcelona,Barcelona,,,
SUB-JA-2018-88672,JUDICIAL EN VÍA DE APREMIO,1637 0000 06 0176 15,20-02-2018 18:00:00 CET (ISO: 2018-02-20T18:00:00+01:00),12-03-2018 18:00:00 CET (ISO: 2018-03-12T18:00:00+01:00),"28.732,72 €",BOE-B-2018-9466,"62.280,00 €","0,00 €",Sin puja mínima,Sin tramos,"3.114,00 €","CALLE RANERO, NÚMERO 20",16500,HUETE,Cuenca,"37.368,00 €"
SUB-JA-2018-88494,JUDICIAL EN VÍA DE APREMIO,2329 0000 06 1529 15,20-02-2018 18:00:00 CET (ISO: 2018-02-20T18:00:00+01:00),12-03-2018 18:00:00 CET (ISO: 2018-03-12T18:00:00+01:00),"13.230,13 €",BOE-B-2018-9457,"56.194,63 €","0,00 €",Sin puja mínima,Sin tramos,"2.809,73 €",C/ PONIENTE 13,41200,ALCALA DEL RIO,Sevilla,"108.195,00 €"
SUB-JA-2017-77748,JUDICIAL EN VÍA DE APREMIO,1704 0000 06 0245 16,20-02-2018 18:00:00 CET (ISO: 2018-02-20T18:00:00+01:00),12-03-2018 18:32:04 CET (ISO: 2018-03-12T18:32:04+01:00),"82.598,78 €",BOE-B-2018-9234,"161.193,37 €","0,00 €",Sin puja mínima,Sin tramos,"8.059,67 €","C/ VILAR PETIT 12, 1º1ª",17300,BLANES,Gerona,"123.502,00 €"
SUB-JA-2017-81622,JUDICIAL EN VÍA DE APREMIO,0856 0000 06 0542 16,20-02-2018 18:00:00 CET (ISO: 2018-02-20T18:00:00+01:00),12-03-2018 18:52:24 CET (ISO: 2018-03-12T18:52:24+01:00),"202.341,95 €",BOE-B-2018-9289,Ver valor de subasta en cada lote (los lotes se subastan de forma independiente),Ver valor de tasación en cada lote (los lotes se subastan de forma independiente),Ver puja mínima de cada lote (adjudicación independiente),Ver tramos de cada lote (adjudicación independiente),Ver importe de consignación de cada lote (adjudicación independiente),,,,,
SUB-JA-2017-77312,JUDICIAL EN VÍA DE APREMIO,4307 0000 06 0190 14,20-02-2018 18:00:00 CET (ISO: 2018-02-20T18:00:00+01:00),12-03-2018 19:13:39 CET (ISO: 2018-03-12T19:13:39+01:00),"126.331,23 €",BOE-B-2018-9465,Ver valor de subasta en cada lote (los lotes se subastan de forma independiente),Ver valor de tasación en cada lote (los lotes se subastan de forma independiente),Ver puja mínima de cada lote (adjudicación independiente),Ver tramos de cada lote (adjudicación independiente),Ver importe de consignación de cada lote (adjudicación independiente),,,,,
SUB-JA-2017-77783,JUDICIAL EN VÍA DE APREMIO,3037 0000 05 1368 16,20-02-2018 18:00:00 CET (ISO: 2018-02-20T18:00:00+01:00),12-03-2018 19:30:29 CET (ISO: 2018-03-12T19:30:29+01:00),"150.213,04 €",BOE-B-2018-9475,"202.839,20 €","0,00 €",Sin puja mínima,Sin tramos,"10.141,96 €","CONJUNTO RESIDENCIAL EL BAJONDILLO , BLOQUE 7, PLANTA 6 , PUERTA C,",29620,TORREMOLINOS,Málaga,"129.000,00 €"
