0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
SUB-JA-2022-197188,JUDICIAL EN VÍA DE APREMIO,2232 0000 52 0103 18,28-06-2022 18:00:00 CET (ISO: 2022-06-28T18:00:00+02:00),18-07-2022 22:27:20 CET (ISO: 2022-07-18T22:27:20+02:00),"5.460.554,20 €",BOE-B-2022-20528,Ver valor de subasta en cada lote (los lotes se subastan de forma independiente),Ver valor de tasación en cada lote (los lotes se subastan de forma independiente),Ver puja mínima de cada lote (adjudicación independiente),Ver tramos de cada lote (adjudicación independiente),Ver importe de consignación de cada lote (adjudicación independiente),,,,,
SUB-JA-2022-197410,JUDICIAL EN VÍA DE APREMIO,0949 0000 06 0128 20,28-06-2022 18:00:00 CET (ISO: 2022-06-28T18:00:00+02:00),18-07-2022 22:36:17 CET (ISO: 2022-07-18T22:36:17+02:00),"150.710,14 €",BOE-B-2022-20358,"253.015,25 €","0,00 €",Sin puja mínima,Sin tramos,"12.650,76 €",C/ Sant Antoni Abad. Nº 43. Piso 3º; Pta 2ª,08001,Barcelona,Barcelona,"110.000,00 €"
SUB-JA-2022-196426,JUDICIAL EN VÍA DE APREMIO,2302 0000 06 0019 19,28-06-2022 18:00:00 CET (ISO: 2022-06-28T18:00:00+02:00),18-07-2022 23:50:25 CET (ISO: 2022-07-18T23:50:25+02:00),"148.718,00 €",BOE-B-2022-20520,"40.000,00 €","0,00 €",Sin puja mínima,"800,00 €","2.000,00 €",AVDA. VALLE INCLÁN 17,27780,FOZ,Lugo,"55.200,00 €"
SUB-JA-2022-194122,JUDICIAL EN VÍA DE APREMIO,2459 0000 00 0248 20,07-06-2022 18:00:00 CET (ISO: 2022-06-07T18:00:00+02:00),15-07-2022 20:46:50 CET (ISO: 2022-07-15T20:46:50+02:00),"39.025,79 €",BOE-B-2022-17719,"251.990,00 €","0,00 €","200,00 €","5.039,80 €","12.599,50 €","Calle Sanchorreja, 15 - Piso: AT - Puerta: A",28047,Madrid,Madrid,"292.508,40 €"
SUB-JV-2022-197102,JUDICIAL VOLUNTARIA,3387 0000 05 0208 21,24-06-2022 18:00:00 CET (ISO: 2022-06-24T18:00:00+02:00),14-07-2022 18:00:00 CET (ISO: 2022-07-14T18:00:00+02:00),"0,00 €",BOE-B-2022-19931,"99.649,70 €","0,00 €","49.824,85 €","500,00 €","4.982,49 €","La Texuca, Suares",33527,Bimenes,Asturias,"49.824,85 €"
SUB-JA-2022-196204,JUDICIAL EN VÍA DE APREMIO,4196 0000 05 1960 10,24-06-2022 18:00:00 CET (ISO: 2022-06-24T18:00:00+02:00),14-07-2022 18:00:00 CET (ISO: 2022-07-14T18:00:00+02:00),"841.970,63 €",BOE-B-2022-19933,Ver valor de subasta en cada lote (los lotes se subastan de forma independiente),Ver valor de tasación en cada lote (los lotes se subastan de forma independiente),Ver puja mínima de cada lote (adjudicación independiente),Ver tramos de cada lote (adjudicación independiente),Ver importe de consignación de cada lote (adjudicación independiente),,,,,
SUB-JA-2021-184710,JUDICIAL EN VÍA DE APREMIO,5177 0000 05 0243 19,24-06-2022 18:00:00 CET (ISO: 2022-06-24T18:00:00+02:00),14-07-2022 18:00:00 CET (ISO: 2022-07-14T18:00:00+02:00),"120.895,50 €",BOE-B-2022-19945,"248.931,00 €","0,00 €",Sin puja mínima,"4.978,62 €","12.446,55 €",PLAZA DE LAS PALMERAS NUM 8 5º C TORREJON DE ARDOZ,28850,TORREJON DE ARDOZ,Madrid,"144.379,98 €"
SUB-JA-2022-196956,JUDICIAL EN VÍA DE APREMIO,4264 0000 06 0034 18,24-06-2022 18:00:00 CET (ISO: 2022-06-24T18:00:00+02:00),14-07-2022 18:30:51 CET (ISO: 2022-07-14T18:30:51+02:00),"10.283,06 €",BOE-B-2022-19895,"43.510,00 €","0,00 €",Sin puja mínima,"870,20 €","2.175,50 €","PLANATA BAJA PORTAL 2 CALLE V BLOQUE 1, PARTIDA CAPUCHINOS",44600,ALCAÑIZ,Teruel,"20.014,60 €"
SUB-JA-2022-196106,JUDICIAL EN VÍA DE APREMIO,1346 0000 06 0694 16,24-06-2022 18:00:00 CET (ISO: 2022-06-24T18:00:00+02:00),14-07-2022 18:31:51 CET (ISO: 2022-07-14T18:31:51+02:00),"93.497,39 €",BOE-B-2022-19942,Ver valor de subasta en cada lote (los lotes se subastan de forma independiente),Ver valor de tasación en cada lote (los lotes se subastan de forma independiente),Ver puja mínima de cada lote (adjudicación independiente),Ver tramos de cada lote (adjudicación independiente),Ver importe de consignación de cada lote (adjudicación independiente),,,,,
SUB-JA-2022-195903,JUDICIAL EN VÍA DE APREMIO,2230 0000 52 0344 16,24-06-2022 18:00:00 CET (ISO: 2022-06-24T18:00:00+02:00),14-07-2022 18:39:52 CET (ISO: 2022-07-14T18:39:52+02:00),"226.805,06 €",BOE-B-2022-19962,Ver valor de subasta en cada lote (los lotes se subastan de forma independiente),Ver valor de tasación en cada lote (los lotes se subastan de forma independiente),Ver puja mínima de cada lote (adjudicación independiente),Ver tramos de cada lote (adjudicación independiente),Ver importe de consignación de cada lote (adjudicación independiente),,,,,
