0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
SUB-NV-2017-305543,NOTARIAL VOLUNTARIA,04-08-2017 18:00:00 CET (ISO: 2017-08-04T18:00:00+02:00),24-08-2017 18:00:00 CET (ISO: 2017-08-24T18:00:00+02:00),"119.242,12 €",BOE-B-2017-46943,No consta,"135.800,00 €",Sin puja mínima,Sin tramos,"5.962,11 €","CALLE DE BELCHITE, 8 DE VALENCIA",46009,Valencia,Valencia,,
SUB-NE-2017-315550,NOTARIAL EN VENTA EXTRAJUDICIAL,04-08-2017 18:00:00 CET (ISO: 2017-08-04T18:00:00+02:00),24-08-2017 18:00:00 CET (ISO: 2017-08-24T18:00:00+02:00),"70.898,42 €",BOE-B-2017-46942,No consta,"164.900,00 €","82.450,00 €",Sin tramos,"49.470,00 €",CALLE ANSELM CHARLES 1 ESCALERA A PISO PRIMERO PUERTA PRIMERA,25005,Lleida,Lérida,,
SUB-NE-2017-315552,NOTARIAL EN VENTA EXTRAJUDICIAL,04-08-2017 18:00:00 CET (ISO: 2017-08-04T18:00:00+02:00),24-08-2017 18:00:00 CET (ISO: 2017-08-24T18:00:00+02:00),"302.072,17 €",BOE-B-2017-46938,No consta,"447.288,00 €",Sin puja mínima,Sin tramos,"22.364,40 €","C/ FERRAN JUNOY, Nº 4, ESCALERA 5, EDIFICIO A, 3º-2ª",08030,Barcelona,Barcelona,,
SUB-JA-2017-69886,JUDICIAL EN VÍA DE APREMIO,4332 0000 05 0132 12,04-08-2017 18:00:00 CET (ISO: 2017-08-04T18:00:00+02:00),24-08-2017 18:00:00 CET (ISO: 2017-08-24T18:00:00+02:00),"147.948,84 €",BOE-B-2017-46732,Ver valor de subasta en cada lote (los lotes se subastan de forma independiente),Ver valor de tasación en cada lote (los lotes se subastan de forma independiente),Ver puja mínima de cada lote (adjudicación independiente),Ver tramos de cada lote (adjudicación independiente),Ver importe de consignación de cada lote (adjudicación independiente),,,,,
SUB-NE-2017-305540,NOTARIAL EN VENTA EXTRAJUDICIAL,28-07-2017 18:00:00 CET (ISO: 2017-07-28T18:00:00+02:00),17-08-2017 18:00:00 CET (ISO: 2017-08-17T18:00:00+02:00),"253.021,00 €",BOE-B-2017-45780,No consta,"269.456,94 €",Sin puja mínima,Sin tramos,"13.472,85 €",Calle Gigantes número 15,45223,Seseña,Toledo,,
SUB-JA-2017-64988,JUDICIAL EN VÍA DE APREMIO,0703 0000 06 0331 16,28-07-2017 18:00:00 CET (ISO: 2017-07-28T18:00:00+02:00),17-08-2017 18:00:48 CET (ISO: 2017-08-17T18:00:48+02:00),"155.055,45 €",BOE-B-2017-45532,"150.396,25 €","0,00 €",Sin puja mínima,Sin tramos,"7.519,81 €",Presidente Adolfo Suárez,03502,Benidorm,Alicante,"98.784,80 €"
SUB-JA-2017-70580,JUDICIAL EN VÍA DE APREMIO,0698 0000 06 0410 14,28-07-2017 18:00:00 CET (ISO: 2017-07-28T18:00:00+02:00),17-08-2017 18:07:13 CET (ISO: 2017-08-17T18:07:13+02:00),"162.953,43 €",BOE-B-2017-45536,"208.146,00 €","0,00 €",Sin puja mínima,Sin tramos,"10.407,30 €","CALLE MURGIS, 174",04700,EL EJIDO,Almería,"151.048,00 €"
SUB-NE-2017-305536,NOTARIAL EN VENTA EXTRAJUDICIAL,27-07-2017 18:00:00 CET (ISO: 2017-07-27T18:00:00+02:00),16-08-2017 18:00:00 CET (ISO: 2017-08-16T18:00:00+02:00),"805.005,27 €",BOE-B-2017-45518,No consta,"1.197.936,00 €",Sin puja mínima,Sin tramos,"59.896,80 €",PDA BARRANCO DE MOLES,12598,Peníscola/Peñíscola,Castellón,,
SUB-JA-2017-70231,JUDICIAL EN VÍA DE APREMIO,3770 0000 05 0078 16,27-07-2017 18:00:00 CET (ISO: 2017-07-27T18:00:00+02:00),16-08-2017 18:30:09 CET (ISO: 2017-08-16T18:30:09+02:00),"87.829,45 €",BOE-B-2017-45289,"149.036,57 €","0,00 €",Sin puja mínima,Sin tramos,"7.451,83 €","URBA.PARAISO DE LA CRUZ LA qUINTA , SANTA URSULA VIV.NUM.210 TIPO B PLANTA PRIMERA",38390,STA. URSULA,Santa Cruz de Tenerife,"75.000,00 €"
SUB-JA-2017-70215,JUDICIAL EN VÍA DE APREMIO,0143 0000 06 1410 13,25-07-2017 18:00:00 CET (ISO: 2017-07-25T18:00:00+02:00),15-08-2017 01:46:56 CET (ISO: 2017-08-15T01:46:56+02:00),"52.163,18 €",BOE-B-2017-44883,"298.389,00 €","0,00 €",Sin puja mínima,Sin tramos,"14.919,45 €","C/ HORT DEL BORREGUET, 16-2º PUERTA 3",03203,ELCHE,Alicante,"87.000,01 €"
SUB-NE-2017-315543,NOTARIAL EN VENTA EXTRAJUDICIAL,25-07-2017 18:00:00 CET (ISO: 2017-07-25T18:00:00+02:00),14-08-2017 18:00:00 CET (ISO: 2017-08-14T18:00:00+02:00),"115.384,01 €",BOE-B-2017-45254,No consta,"268.172,00 €",Sin puja mínima,Sin tramos,"13.408,60 €",Calle La Raconada número 1,46410,Sueca,Valencia,,
SUB-NE-2017-315542,NOTARIAL EN VENTA EXTRAJUDICIAL,25-07-2017 18:00:00 CET (ISO: 2017-07-25T18:00:00+02:00),14-08-2017 18:00:00 CET (ISO: 2017-08-14T18:00:00+02:00),"196.261,89 €",BOE-B-2017-45253,No consta,"270.066,00 €",Sin puja mínima,Sin tramos,"13.503,30 €","CALLE TARRAGONA, Nº 7B",Riudecols,Tarragona,,,
SUB-JA-2017-58688,JUDICIAL EN VÍA DE APREMIO,0703 0000 05 0610 15,25-07-2017 18:00:00 CET (ISO: 2017-07-25T18:00:00+02:00),14-08-2017 18:41:53 CET (ISO: 2017-08-14T18:41:53+02:00),"35.750,00 €",BOE-B-2017-44868,"29.652,35 €","0,00 €",Sin puja mínima,Sin tramos,"1.482,62 €","CALLE APOLO XI, 5, 4DCHA",03501,BENIDORM,Alicante,"5.000,01 €"
SUB-JA-2017-70353,JUDICIAL EN VÍA DE APREMIO,2277 0000 06 0593 13,25-07-2017 18:00:00 CET (ISO: 2017-07-25T18:00:00+02:00),14-08-2017 18:54:53 CET (ISO: 2017-08-14T18:54:53+02:00),"41.307,52 €",BOE-B-2017-44996,"102.416,86 €","0,00 €",Sin puja mínima,Sin tramos,"5.120,84 €","PLANTA QUINTA DEL EDIFICIO DENOMINADO LA TORRE, CONJUNTO RESIDENCIAL LA COLINA, PUERTA 505, PLANTA 5, TORREMOLINOS",29620,TORREMOLINOS,Málaga,"52.789,00 €"
SUB-JA-2017-66253,JUDICIAL EN VÍA DE APREMIO,4000 0000 06 0053 16,25-07-2017 18:00:00 CET (ISO: 2017-07-25T18:00:00+02:00),14-08-2017 22:02:26 CET (ISO: 2017-08-14T22:02:26+02:00),"73.261,38 €",BOE-B-2017-44983,"162.076,75 €","0,00 €",Sin puja mínima,Sin tramos,"8.103,84 €","POZO NUEVO, 73",41120,GELVES,Sevilla,"85.000,00 €"
SUB-NE-2017-305528,NOTARIAL EN VENTA EXTRAJUDICIAL,21-07-2017 18:00:00 CET (ISO: 2017-07-21T18:00:00+02:00),10-08-2017 18:00:00 CET (ISO: 2017-08-10T18:00:00+02:00),"94.356,03 €",BOE-B-2017-44525,No consta,"164.168,00 €",Sin puja mínima,Sin tramos,"8.208,40 €",San Ramón 32,46200,Paiporta,Valencia,,
SUB-NE-2017-315530,NOTARIAL EN VENTA EXTRAJUDICIAL,18-07-2017 18:00:00 CET (ISO: 2017-07-18T18:00:00+02:00),07-08-2017 18:00:00 CET (ISO: 2017-08-07T18:00:00+02:00),"180.486,42 €",BOE-B-2017-44061,No consta,"310.128,05 €",Sin puja mínima,Sin tramos,"15.506,43 €","C/MAESTRO TEJERA, Nº 16 DOS HERMANAS",41701,Dos Hermanas,Sevilla,,
SUB-JA-2017-57592,JUDICIAL EN VÍA DE APREMIO,1694 0000 06 0038 15,18-07-2017 18:00:00 CET (ISO: 2017-07-18T18:00:00+02:00),07-08-2017 18:00:00 CET (ISO: 2017-08-07T18:00:00+02:00),"152.980,45 €",BOE-B-2017-43828,"225.000,00 €","225.000,00 €",Sin puja mínima,Sin tramos,"11.250,00 €",PL. SANT JORDI 5,17160,ANGLES,Gerona,"112.522,50 €"
SUB-JA-2017-59959,JUDICIAL EN VÍA DE APREMIO,0528 0000 05 0083 16,18-07-2017 18:00:00 CET (ISO: 2017-07-18T18:00:00+02:00),07-08-2017 21:16:31 CET (ISO: 2017-08-07T21:16:31+02:00),"8.335,71 €",BOE-B-2017-43749,"50.004,20 €","0,00 €",Sin puja mínima,Sin tramos,"2.500,21 €","C. LEPANTO, 12",08917,BADALONA,Barcelona,"26.050,00 €"
SUB-NE-2017-305521,NOTARIAL EN VENTA EXTRAJUDICIAL,14-07-2017 18:00:00 CET (ISO: 2017-07-14T18:00:00+02:00),03-08-2017 18:00:00 CET (ISO: 2017-08-03T18:00:00+02:00),"237.475,17 €",BOE-B-2017-43419,No consta,"339.328,40 €",Sin puja mínima,Sin tramos,"16.966,42 €",Calle Metge Coto y García número 36,43570,Santa Bàrbara,Tarragona,,
SUB-JA-2017-69102,JUDICIAL EN VÍA DE APREMIO,2100 0000 05 0171 16,14-07-2017 18:00:00 CET (ISO: 2017-07-14T18:00:00+02:00),03-08-2017 18:35:33 CET (ISO: 2017-08-03T18:35:33+02:00),"139.126,04 €",BOE-B-2017-43229,Ver valor de subasta en cada lote (los lotes se subastan de forma independiente),Ver valor de tasación en cada lote (los lotes se subastan de forma independiente),Ver puja mínima de cada lote (adjudicación independiente),Ver tramos de cada lote (adjudicación independiente),Ver importe de consignación de cada lote (adjudicación independiente),,,,,
SUB-JA-2017-64532,JUDICIAL EN VÍA DE APREMIO,4389 0000 05 0806 15,11-07-2017 18:00:00 CET (ISO: 2017-07-11T18:00:00+02:00),01-08-2017 03:45:47 CET (ISO: 2017-08-01T03:45:47+02:00),"97.303,58 €",BOE-B-2017-42706,"97.303,58 €","97.303,58 €",Sin puja mínima,"100,00 €","4.865,18 €","CTRA. DE MADRID, 7 PB",46816,ROTGLÀ I CORBERÀ,Valencia,"97.500,00 €"
