0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
SUB-JA-2021-180481,JUDICIAL EN VÍA DE APREMIO,5066 0000 06 1213 13,07-10-2021 18:00:00 CET (ISO: 2021-10-07T18:00:00+02:00),27-10-2021 18:18:28 CET (ISO: 2021-10-27T18:18:28+02:00),"219.766,89 €",BOE-B-2021-40742,"378.828,00 €","0,00 €",Sin puja mínima,"7.576,56 €","18.941,40 €",MONTE IGUELDO Nº 82 - 2ºD,28053,MADRID,Madrid,"113.648,40 €"
SUB-JA-2021-180255,JUDICIAL EN VÍA DE APREMIO,0800 0000 06 0145 14,07-10-2021 18:00:00 CET (ISO: 2021-10-07T18:00:00+02:00),27-10-2021 18:19:14 CET (ISO: 2021-10-27T18:19:14+02:00),"43.169,00 €",BOE-B-2021-40773,"130.874,40 €","0,00 €",Sin puja mínima,"2.617,49 €","6.543,72 €","Calle Ivern, nº 4, 4º 1ª, Escalera Derecha",08800,Vilanova i la Geltrú,Barcelona,"78.524,70 €"
SUB-JA-2021-179048,JUDICIAL EN VÍA DE APREMIO,2729 0000 05 0427 07,07-10-2021 18:00:00 CET (ISO: 2021-10-07T18:00:00+02:00),27-10-2021 18:46:38 CET (ISO: 2021-10-27T18:46:38+02:00),"8.502,25 €",BOE-B-2021-40765,"49.643,44 €","0,00 €",Sin puja mínima,"992,87 €","2.482,17 €",AVENIDA FELISA CAMPUZANO,39400,LOS CORRALES DE BUELNA,Cantabria,"4.964,35 €"
SUB-JA-2017-59353,JUDICIAL EN VÍA DE APREMIO,4034 0000 06 1822 13,07-10-2021 18:00:00 CET (ISO: 2021-10-07T18:00:00+02:00),27-10-2021 18:57:49 CET (ISO: 2021-10-27T18:57:49+02:00),"28.244,44 €",BOE-B-2021-40759,"96.931,23 €","0,00 €",Sin puja mínima,Sin tramos,"4.846,56 €","calle Umbrete 2, Esc 2, 2º Dcha de Sevilla",41016,sevilla,Sevilla,"48.465,67 €"
SUB-JA-2021-177072,JUDICIAL EN VÍA DE APREMIO,2925 0000 06 0468 19,07-10-2021 18:00:00 CET (ISO: 2021-10-07T18:00:00+02:00),27-10-2021 19:25:54 CET (ISO: 2021-10-27T19:25:54+02:00),"145.110,39 €",BOE-B-2021-40722,"284.175,00 €","0,00 €",Sin puja mínima,"5.683,50 €","14.208,75 €",CALLE OLLERIAS 3,29640,FUENGIROLA,Málaga,"153.454,50 €"
SUB-JA-2021-180516,JUDICIAL EN VÍA DE APREMIO,2934 0000 06 0329 13,07-10-2021 18:00:00 CET (ISO: 2021-10-07T18:00:00+02:00),27-10-2021 20:09:42 CET (ISO: 2021-10-27T20:09:42+02:00),"474.514,11 €",BOE-B-2021-40744,Ver valor de subasta en cada lote (los lotes se subastan de forma independiente),Ver valor de tasación en cada lote (los lotes se subastan de forma independiente),Ver puja mínima de cada lote (adjudicación independiente),Ver tramos de cada lote (adjudicación independiente),Ver importe de consignación de cada lote (adjudicación independiente),,,,,
SUB-JV-2021-180658,JUDICIAL VOLUNTARIA,2244 0000 05 0131 19,07-10-2021 18:00:00 CET (ISO: 2021-10-07T18:00:00+02:00),27-10-2021 20:51:33 CET (ISO: 2021-10-27T20:51:33+02:00),"1,00 €",BOE-B-2021-40711,"526.484,90 €","0,00 €","368.539,43 €","10.529,69 €","26.324,24 €",calle jose maria garrido parcela UB 6C de la UE1-AR5,26005,calahorra,La Rioja,"494.895,71 €"
SUB-JA-2021-171216,JUDICIAL EN VÍA DE APREMIO,2459 0000 00 0108 18,07-10-2021 18:00:00 CET (ISO: 2021-10-07T18:00:00+02:00),27-10-2021 22:26:13 CET (ISO: 2021-10-27T22:26:13+02:00),"564.005,82 €",BOE-B-2021-40739,Ver valor de subasta en cada lote (los lotes se subastan de forma independiente),Ver valor de tasación en cada lote (los lotes se subastan de forma independiente),Ver puja mínima de cada lote (adjudicación independiente),Ver tramos de cada lote (adjudicación independiente),Ver importe de consignación de cada lote (adjudicación independiente),,,,,
SUB-JV-2021-178093,JUDICIAL VOLUNTARIA,3491 0000 05 0098 18,05-10-2021 18:00:00 CET (ISO: 2021-10-05T18:00:00+02:00),26-10-2021 00:44:23 CET (ISO: 2021-10-26T00:44:23+02:00),"0,00 €",BOE-B-2021-40465,"270.685,33 €","270.685,33 €",Sin puja mínima,"2.706,85 €","54.137,06 €",CALLE ESTANQUE DE LA HUERTA 27,35018,LAS PALMAS DE GRAN CANARIA,Las Palmas,"154.290,45 €"
SUB-JA-2021-177294,JUDICIAL EN VÍA DE APREMIO,0780 0000 06 0378 16,05-10-2021 18:00:00 CET (ISO: 2021-10-05T18:00:00+02:00),26-10-2021 09:20:56 CET (ISO: 2021-10-26T09:20:56+02:00),"101.278,00 €",BOE-B-2021-40490,"173.114,94 €","0,00 €",Sin puja mínima,Sin tramos,"8.655,75 €","Sant Esteve Sesrovires Nº 11 , Esc. 1, 4º 3ª",08760,MARTORELL,Barcelona,"130.490,99 €"
SUB-JA-2021-177649,JUDICIAL EN VÍA DE APREMIO,2751 0000 06 0367 19,14-09-2021 18:00:00 CET (ISO: 2021-09-14T18:00:00+02:00),25-10-2021 15:59:01 CET (ISO: 2021-10-25T15:59:01+02:00),"280.561,02 €",BOE-B-2021-37812,Ver valor de subasta en cada lote (los lotes se subastan de forma independiente),Ver valor de tasación en cada lote (los lotes se subastan de forma independiente),Ver puja mínima de cada lote (adjudicación independiente),Ver tramos de cada lote (adjudicación independiente),Ver importe de consignación de cada lote (adjudicación independiente),,,,,
SUB-JA-2021-180334,JUDICIAL EN VÍA DE APREMIO,3564 0000 06 0070 18,05-10-2021 18:00:00 CET (ISO: 2021-10-05T18:00:00+02:00),25-10-2021 18:00:00 CET (ISO: 2021-10-25T18:00:00+02:00),"298.681,88 €",BOE-B-2021-40422,"360.409,00 €","0,00 €",Sin puja mínima,"7.208,18 €","18.020,45 €",MOURELOS- NOALLA - SANXENXO,36960,SANXENXO,Pontevedra,"201.829,04 €"
SUB-JA-2021-168552,JUDICIAL EN VÍA DE APREMIO,2935 0000 06 1751 13,05-10-2021 18:00:00 CET (ISO: 2021-10-05T18:00:00+02:00),25-10-2021 18:00:00 CET (ISO: 2021-10-25T18:00:00+02:00),"48.845,53 €",BOE-B-2021-40488,"106.050,00 €","0,00 €",Sin puja mínima,"2.121,00 €","5.302,50 €","PASAJE DE MARTOS 3, 3º DERECHA",29500,ALORA,Málaga,"53.025,00 €"
SUB-JA-2021-179654,JUDICIAL EN VÍA DE APREMIO,0033 0000 05 0484 20,05-10-2021 18:00:00 CET (ISO: 2021-10-05T18:00:00+02:00),25-10-2021 18:00:00 CET (ISO: 2021-10-25T18:00:00+02:00),"59.141,59 €",BOE-B-2021-40396,"141.860,00 €","0,00 €",Sin puja mínima,"2.837,20 €","7.093,00 €","c/ Agustina Aroca, 4, esc. 2, bajo-B",02006,ALBACETE,Albacete,"85.116,00 €"
SUB-JA-2021-180467,JUDICIAL EN VÍA DE APREMIO,3758 0000 06 0017 20,05-10-2021 18:00:00 CET (ISO: 2021-10-05T18:00:00+02:00),25-10-2021 18:00:00 CET (ISO: 2021-10-25T18:00:00+02:00),"14.814,42 €",BOE-B-2021-40541,"54.450,00 €","0,00 €",Sin puja mínima,"1.089,00 €","2.722,50 €","CALLE MIGUEL ZEROLO FUENTES BARRIADA JUAN XXIII, Nº 2, BLOQUE D, ESCALERA 2, PLANTA BAJA, PUERTA 392",38010,SANTA CRUZ DE TENERIFE,Santa Cruz de Tenerife,"39.204,00 €"
SUB-JA-2021-178477,JUDICIAL EN VÍA DE APREMIO,2374 0000 05 0341 20,05-10-2021 18:00:00 CET (ISO: 2021-10-05T18:00:00+02:00),25-10-2021 18:00:00 CET (ISO: 2021-10-25T18:00:00+02:00),"255.554,81 €",BOE-B-2021-40447,"302.400,00 €","0,00 €",Sin puja mínima,"6.048,00 €","15.120,00 €","C/ ALBACETE 5, BLOQUE 2, ESCALERA 2, 2º B",28945,FUENLABRADA,Madrid,"127.008,00 €"
SUB-JA-2021-176936,JUDICIAL EN VÍA DE APREMIO,3942 0000 05 0176 15,05-10-2021 18:00:00 CET (ISO: 2021-10-05T18:00:00+02:00),25-10-2021 18:00:00 CET (ISO: 2021-10-25T18:00:00+02:00),"248.100,98 €",BOE-B-2021-40461,"449.800,00 €","0,00 €",Sin puja mínima,"8.996,00 €","22.490,00 €","CALLE OCEANO ATLANTICO, 14",45223,SESEÑA,Toledo,"233.896,00 €"
SUB-JA-2021-180413,JUDICIAL EN VÍA DE APREMIO,1668 0000 05 1400 19,05-10-2021 18:00:00 CET (ISO: 2021-10-05T18:00:00+02:00),25-10-2021 18:00:00 CET (ISO: 2021-10-25T18:00:00+02:00),"130.447,68 €",BOE-B-2021-40434,"146.700,00 €","0,00 €",Sin puja mínima,"2.934,00 €","7.335,00 €","AVDA. PUERTO DE SANTA MARIA, 25",03710,CALPE,Alicante/Alacant,"117.360,00 €"
SUB-JA-2021-176745,JUDICIAL EN VÍA DE APREMIO,0088 0000 05 0293 14,05-10-2021 18:00:00 CET (ISO: 2021-10-05T18:00:00+02:00),25-10-2021 18:00:00 CET (ISO: 2021-10-25T18:00:00+02:00),"83.359,65 €",BOE-B-2021-40400,"130.600,00 €","0,00 €",Sin puja mínima,"653,00 €","6.530,00 €","CALLE SAN JOSE, NUMERO 25",03801,ALCOY,Alicante,"107.745,00 €"
SUB-JA-2021-180336,JUDICIAL EN VÍA DE APREMIO,4296 0000 05 0013 20,05-10-2021 18:00:00 CET (ISO: 2021-10-05T18:00:00+02:00),25-10-2021 18:00:00 CET (ISO: 2021-10-25T18:00:00+02:00),"13.997,68 €",BOE-B-2021-40499,"93.420,00 €","0,00 €",Sin puja mínima,"1.848,40 €","4.621,00 €",calle cardenal reig,45300,ocaña,Toledo,"29.574,40 €"
SUB-JA-2021-177423,JUDICIAL EN VÍA DE APREMIO,5066 0000 06 0009 15,05-10-2021 18:00:00 CET (ISO: 2021-10-05T18:00:00+02:00),25-10-2021 18:00:00 CET (ISO: 2021-10-25T18:00:00+02:00),"102.454,75 €",BOE-B-2021-40476,"156.557,00 €","0,00 €",Sin puja mínima,"3.131,14 €","7.827,85 €","PUERTO DE LAS LUMBRERAS Nº 43,5ºB",28031,MADRID,Madrid,"93.934,20 €"
SUB-JA-2021-179774,JUDICIAL EN VÍA DE APREMIO,2460 0000 18 0154 15,05-10-2021 18:00:00 CET (ISO: 2021-10-05T18:00:00+02:00),25-10-2021 18:01:11 CET (ISO: 2021-10-25T18:01:11+02:00),"112.565,85 €",BOE-B-2021-40480,"149.650,27 €","0,00 €",Sin puja mínima,Sin tramos,"7.482,51 €",CALLE ALMONACID 17 BAJO DCHA,28038,MADRID,Madrid,"88.000,00 €"
