0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
SUB-JA-2019-122365,JUDICIAL EN VÍA DE APREMIO,1906 0000 06 0703 15,12-11-2019 18:00:00 CET (ISO: 2019-11-12T18:00:00+01:00),02-12-2019 18:46:14 CET (ISO: 2019-12-02T18:46:14+01:00),"474.445,67 €",BOE-B-2019-47493,Ver valor de subasta en cada lote (los lotes se subastan de forma independiente),Ver valor de tasación en cada lote (los lotes se subastan de forma independiente),Ver puja mínima de cada lote (adjudicación independiente),Ver tramos de cada lote (adjudicación independiente),Ver importe de consignación de cada lote (adjudicación independiente),,,,,
SUB-JA-2019-125416,JUDICIAL EN VÍA DE APREMIO,3547 0000 06 0258 17,12-11-2019 18:00:00 CET (ISO: 2019-11-12T18:00:00+01:00),02-12-2019 18:51:42 CET (ISO: 2019-12-02T18:51:42+01:00),"1.171.996,35 €",BOE-B-2019-47490,Ver valor de subasta en cada lote (los lotes se subastan de forma independiente),Ver valor de tasación en cada lote (los lotes se subastan de forma independiente),Ver puja mínima de cada lote (adjudicación independiente),Ver tramos de cada lote (adjudicación independiente),Ver importe de consignación de cada lote (adjudicación independiente),,,,,
SUB-JA-2019-128473,JUDICIAL EN VÍA DE APREMIO,2460 0000 18 0309 18,12-11-2019 18:00:00 CET (ISO: 2019-11-12T18:00:00+01:00),02-12-2019 19:02:58 CET (ISO: 2019-12-02T19:02:58+01:00),"831.600,16 €",BOE-B-2019-47565,Ver valor de subasta en cada lote (los lotes se subastan de forma independiente),Ver valor de tasación en cada lote (los lotes se subastan de forma independiente),Ver puja mínima de cada lote (adjudicación independiente),Ver tramos de cada lote (adjudicación independiente),Ver importe de consignación de cada lote (adjudicación independiente),,,,,
SUB-JA-2019-133535,JUDICIAL EN VÍA DE APREMIO,4175 0000 05 0139 18,12-11-2019 18:00:00 CET (ISO: 2019-11-12T18:00:00+01:00),02-12-2019 19:05:43 CET (ISO: 2019-12-02T19:05:43+01:00),"2.812.321,34 €",BOE-B-2019-47518,Ver valor de subasta en cada lote (los lotes se subastan de forma independiente),Ver valor de tasación en cada lote (los lotes se subastan de forma independiente),Ver puja mínima de cada lote (adjudicación independiente),Ver tramos de cada lote (adjudicación independiente),Ver importe de consignación de cada lote (adjudicación independiente),,,,,
SUB-JA-2019-128635,JUDICIAL EN VÍA DE APREMIO,4354 0000 06 0498 17,12-11-2019 18:00:00 CET (ISO: 2019-11-12T18:00:00+01:00),02-12-2019 19:07:58 CET (ISO: 2019-12-02T19:07:58+01:00),"98.610,06 €",BOE-B-2019-47489,Ver valor de subasta en cada lote (los lotes se subastan de forma independiente),Ver valor de tasación en cada lote (los lotes se subastan de forma independiente),Ver puja mínima de cada lote (adjudicación independiente),Ver tramos de cada lote (adjudicación independiente),Ver importe de consignación de cada lote (adjudicación independiente),,,,,
SUB-JA-2019-137129,JUDICIAL EN VÍA DE APREMIO,4377 0000 06 1789 15,12-11-2019 18:00:00 CET (ISO: 2019-11-12T18:00:00+01:00),02-12-2019 19:16:34 CET (ISO: 2019-12-02T19:16:34+01:00),"18.936,48 €",BOE-B-2019-47533,"60.236,00 €","0,00 €",Sin puja mínima,"1.204,72 €","3.011,80 €","CALLE GABRIEL CISCAR, 47, 4º",46780,OLIVA,Valencia,"22.889,68 €"
SUB-JA-2019-128746,JUDICIAL EN VÍA DE APREMIO,3392 0000 06 0412 15,12-11-2019 18:00:00 CET (ISO: 2019-11-12T18:00:00+01:00),02-12-2019 19:40:33 CET (ISO: 2019-12-02T19:40:33+01:00),"139.981,64 €",BOE-B-2019-47516,"232.151,33 €","232.151,33 €",Sin puja mínima,"4.643,02 €","11.607,56 €",PLAZA NUESTRA SEÑORA DE LOS ANGELES Nº 3-1º DCHA,28823,COSLADA,Madrid,"106.789,46 €"
SUB-JA-2019-136034,JUDICIAL EN VÍA DE APREMIO,5177 0000 06 0014 17,12-11-2019 18:00:00 CET (ISO: 2019-11-12T18:00:00+01:00),02-12-2019 20:09:58 CET (ISO: 2019-12-02T20:09:58+01:00),"134.485,02 €",BOE-B-2019-47645,"175.784,02 €","0,00 €",Sin puja mínima,"3.515,68 €","8.789,20 €",Ronda de la constitucion num 8,28110,Algete,Madrid,"112.501,76 €"
SUB-JC-2019-137660,JUDICIAL CONCURSAL,1699 0000 52 0383 15,07-11-2019 18:00:00 CET (ISO: 2019-11-07T18:00:00+01:00),28-11-2019 00:54:03 CET (ISO: 2019-11-28T00:54:03+01:00),"51.584,44 €",BOE-B-2019-46547,"51.584,44 €","51.584,44 €",Sin puja mínima,Sin tramos,"2.579,22 €","C/ Padilla nº 65, Bloque B, escalera 2, Puerta A,",19160,Chiloeches,Guadalajara,"29.000,01 €"
SUB-JA-2018-90057,JUDICIAL EN VÍA DE APREMIO,2460 0000 00 0314 17,07-11-2019 18:00:00 CET (ISO: 2019-11-07T18:00:00+01:00),28-11-2019 02:11:42 CET (ISO: 2019-11-28T02:11:42+01:00),"123.909,00 €",BOE-B-2019-46563,"141.237,84 €","0,00 €",Sin puja mínima,Sin tramos,"7.061,89 €","CALLE GENERAL RICARDOS Nº 139, 4º DE MADRID",28019,MADRID,Madrid,"158.000,00 €"
