0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
SUB-JV-2022-195427,JUDICIAL VOLUNTARIA,3169 0000 05 0177 19,05-07-2022 18:00:00 CET (ISO: 2022-07-05T18:00:00+02:00),02-10-2022 16:20:12 CET (ISO: 2022-10-02T16:20:12+02:00),"0,00 €",BOE-B-2022-21349,"219.912,00 €","0,00 €",Sin puja mínima,"4.398,24 €","10.995,60 €",CALLE ALEJANDRO MALASPINA Nº 2 VIVIENDA B 13,28806,ALCALA DE HENARES,Madrid,"334.266,24 €"
SUB-JA-2022-196433,JUDICIAL EN VÍA DE APREMIO,3519 0000 06 0105 17,09-09-2022 18:00:00 CET (ISO: 2022-09-09T18:00:00+02:00),29-09-2022 18:00:00 CET (ISO: 2022-09-29T18:00:00+02:00),"139.862,32 €",BOE-B-2022-26722,"160.000,00 €","1.600.000,00 €",Sin puja mínima,Sin tramos,"8.000,00 €","Vivienda en la planta de su denominación, del Conjunto Urbano",35110,SANTA LUCIA DE TIRAJANA (SAN BARTOLOMÉ DE TIRAJANA),Las Palmas,"151.039,44 €"
SUB-JA-2021-176712,JUDICIAL EN VÍA DE APREMIO,0821 0000 06 1389 18,09-09-2022 18:00:00 CET (ISO: 2022-09-09T18:00:00+02:00),29-09-2022 18:00:00 CET (ISO: 2022-09-29T18:00:00+02:00),"819.859,42 €",BOE-B-2022-26728,Ver valor de subasta en cada lote (los lotes se subastan de forma independiente),Ver valor de tasación en cada lote (los lotes se subastan de forma independiente),Ver puja mínima de cada lote (adjudicación independiente),Ver tramos de cada lote (adjudicación independiente),Ver importe de consignación de cada lote (adjudicación independiente),,,,,
SUB-JA-2022-195828,JUDICIAL EN VÍA DE APREMIO,0620 0000 06 0109 16,09-09-2022 18:00:00 CET (ISO: 2022-09-09T18:00:00+02:00),29-09-2022 18:00:00 CET (ISO: 2022-09-29T18:00:00+02:00),"250.205,16 €",BOE-B-2022-26672,"409.472,53 €","0,00 €",Sin puja mínima,"8.189,45 €","20.473,62 €","CALLE VALENCIA 95-97, PPAL 2ºA",08029,BARCELONA,Barcelona,"245.683,50 €"
SUB-JA-2022-199530,JUDICIAL EN VÍA DE APREMIO,4683 0000 05 0931 21,09-09-2022 18:00:00 CET (ISO: 2022-09-09T18:00:00+02:00),29-09-2022 18:00:00 CET (ISO: 2022-09-29T18:00:00+02:00),"160.321,73 €",BOE-B-2022-26671,"283.640,60 €","0,00 €",Sin puja mínima,Sin tramos,"14.182,03 €",ISAAC ALBENIZ 1-3ºIZQ,48910,SESTAO,Bizkaia,"145.000,00 €"
SUB-JA-2022-194474,JUDICIAL EN VÍA DE APREMIO,1930 0000 06 2123 18,09-09-2022 18:00:00 CET (ISO: 2022-09-09T18:00:00+02:00),29-09-2022 18:00:00 CET (ISO: 2022-09-29T18:00:00+02:00),"239.101,59 €",BOE-B-2022-26689,Ver valor de subasta en cada lote (los lotes se subastan de forma independiente),Ver valor de tasación en cada lote (los lotes se subastan de forma independiente),Ver puja mínima de cada lote (adjudicación independiente),Ver tramos de cada lote (adjudicación independiente),Ver importe de consignación de cada lote (adjudicación independiente),,,,,
SUB-JA-2022-198529,JUDICIAL EN VÍA DE APREMIO,3793 0000 06 1559 20,09-09-2022 18:00:00 CET (ISO: 2022-09-09T18:00:00+02:00),29-09-2022 18:00:00 CET (ISO: 2022-09-29T18:00:00+02:00),"111.914,94 €",BOE-B-2022-26661,Ver valor de subasta en cada lote (los lotes se subastan de forma independiente),Ver valor de tasación en cada lote (los lotes se subastan de forma independiente),Ver puja mínima de cada lote (adjudicación independiente),Ver tramos de cada lote (adjudicación independiente),Ver importe de consignación de cada lote (adjudicación independiente),,,,,
SUB-JA-2022-197933,JUDICIAL EN VÍA DE APREMIO,4195 0000 06 1101 19,09-09-2022 18:00:00 CET (ISO: 2022-09-09T18:00:00+02:00),29-09-2022 18:00:00 CET (ISO: 2022-09-29T18:00:00+02:00),"243.940,82 €",BOE-B-2022-26719,Ver valor de subasta en cada lote (los lotes se subastan de forma independiente),Ver valor de tasación en cada lote (los lotes se subastan de forma independiente),Ver puja mínima de cada lote (adjudicación independiente),Ver tramos de cada lote (adjudicación independiente),Ver importe de consignación de cada lote (adjudicación independiente),,,,,
SUB-JA-2022-198446,JUDICIAL EN VÍA DE APREMIO,4680 0000 06 0258 22,09-09-2022 18:00:00 CET (ISO: 2022-09-09T18:00:00+02:00),29-09-2022 18:00:00 CET (ISO: 2022-09-29T18:00:00+02:00),"168.916,91 €",BOE-B-2022-26670,"322.560,00 €","322.560,00 €",Sin puja mínima,Sin tramos,"16.128,00 €","Calle Juan de Mena, 5 - Piso: 5ª - Puerta: DCH",48903,Barakaldo,Bizkaia,"165.000,00 €"
SUB-JA-2022-194913,JUDICIAL EN VÍA DE APREMIO,3822 0000 05 0048 21,09-09-2022 18:00:00 CET (ISO: 2022-09-09T18:00:00+02:00),29-09-2022 18:00:00 CET (ISO: 2022-09-29T18:00:00+02:00),"108.703,11 €",BOE-B-2022-26723,Ver valor de subasta en cada lote (los lotes se subastan de forma independiente),Ver valor de tasación en cada lote (los lotes se subastan de forma independiente),Ver puja mínima de cada lote (adjudicación independiente),Ver tramos de cada lote (adjudicación independiente),Ver importe de consignación de cada lote (adjudicación independiente),,,,,
