0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
SUB-NE-2016-174501,NOTARIAL EN VENTA EXTRAJUDICIAL,10-11-2016 18:00:00 CET (ISO: 2016-11-10T18:00:00+01:00),30-11-2016 18:00:00 CET (ISO: 2016-11-30T18:00:00+01:00),BOE-B-2016-55784,Ver valor de subasta en cada lote (los lotes se subastan de forma independiente),Ver valor de tasación en cada lote (los lotes se subastan de forma independiente),Ver puja mínima de cada lote (adjudicación independiente),Ver tramos de cada lote (adjudicación independiente),Ver importe de consignación de cada lote (adjudicación independiente),,,,,,,
SUB-JV-2016-29588,JUDICIAL VOLUNTARIA,3940 0000 52 0199 09,08-11-2016 18:00:00 CET (ISO: 2016-11-08T18:00:00+01:00),28-11-2016 18:00:00 CET (ISO: 2016-11-28T18:00:00+01:00),"6.234.982,96 €",BOE-B-2016-55341,"135.521,00 €","135.521,00 €",Sin puja mínima,Sin tramos,"6.776,05 €",CALLE NUREDDUNA Nº 19,07006,PALMA DE MALLORCA,Baleares,"51.731,00 €"
SUB-JA-2016-34779,JUDICIAL EN VÍA DE APREMIO,0054 0000 06 0072 14,08-11-2016 18:00:00 CET (ISO: 2016-11-08T18:00:00+01:00),28-11-2016 18:00:00 CET (ISO: 2016-11-28T18:00:00+01:00),"63.115,21 €",BOE-B-2016-55012,"113.456,64 €","0,00 €",Sin puja mínima,Sin tramos,"5.672,83 €","Avenida de Ayora, 18",02640,Almansa,Albacete,"56.728,32 €"
SUB-JA-2016-35404,JUDICIAL EN VÍA DE APREMIO,4883 0000 05 0207 13,08-11-2016 18:00:00 CET (ISO: 2016-11-08T18:00:00+01:00),28-11-2016 18:00:00 CET (ISO: 2016-11-28T18:00:00+01:00),"569.541,09 €",BOE-B-2016-55270,"1.150.622,99 €","0,00 €",Sin puja mínima,Sin tramos,"57.531,14 €","575.314,00 €",,,,
SUB-JA-2016-33932,JUDICIAL EN VÍA DE APREMIO,5079 0000 06 0306 14,08-11-2016 18:00:00 CET (ISO: 2016-11-08T18:00:00+01:00),28-11-2016 18:26:34 CET (ISO: 2016-11-28T18:26:34+01:00),"118.865,40 €",BOE-B-2016-55263,"194.727,92 €","0,00 €",Sin puja mínima,Sin tramos,"9.736,40 €",c/ URQUINAONA 15,08222,TERRASSA,Barcelona,"159.016,00 €"
SUB-JA-2016-36621,JUDICIAL EN VÍA DE APREMIO,0606 0000 64 0834 15,08-11-2016 18:00:00 CET (ISO: 2016-11-08T18:00:00+01:00),28-11-2016 20:18:31 CET (ISO: 2016-11-28T20:18:31+01:00),"5.704,14 €",BOE-B-2016-55351,"98.118,75 €","106.000,00 €",Sin puja mínima,Sin tramos,"4.905,94 €",Avenida de les Flors 7 4-1,08940,Cornellà de Llobregat,Barcelona,"15.000,00 €"
SUB-JA-2016-34830,JUDICIAL EN VÍA DE APREMIO,2459 0000 00 0435 13,04-11-2016 18:00:00 CET (ISO: 2016-11-04T18:00:00+01:00),25-11-2016 03:21:48 CET (ISO: 2016-11-25T03:21:48+01:00),"95.751,78 €",BOE-B-2016-53903,Ver valor de subasta en cada lote (los lotes se subastan de forma independiente),Ver valor de tasación en cada lote (los lotes se subastan de forma independiente),Ver puja mínima de cada lote (adjudicación independiente),Ver tramos de cada lote (adjudicación independiente),Ver importe de consignación de cada lote (adjudicación independiente),,,,,
SUB-NE-2016-173501,NOTARIAL EN VENTA EXTRAJUDICIAL,05-11-2016 18:00:00 CET (ISO: 2016-11-05T18:00:00+01:00),25-11-2016 18:00:00 CET (ISO: 2016-11-25T18:00:00+01:00),"258.057,10 €",BOE-B-2016-54803,No consta,"412.372,08 €",Sin puja mínima,Sin tramos,"2.902,86 €","C/ GASOMETRE Nº 48, 1º 2ª",08223,Terrassa,Barcelona,,
SUB-JA-2016-35071,JUDICIAL EN VÍA DE APREMIO,2175 0000 06 0214 13,05-11-2016 18:00:00 CET (ISO: 2016-11-05T18:00:00+01:00),25-11-2016 18:42:47 CET (ISO: 2016-11-25T18:42:47+01:00),"97.721,78 €",BOE-B-2016-54442,"148.788,73 €","0,00 €",Sin puja mínima,Sin tramos,"7.439,44 €",AVDA. HOLANDA 17,03540,ALICANTE,Alicante,"115.173,00 €"
SUB-JA-2016-22983,JUDICIAL EN VÍA DE APREMIO,0097 0000 06 0833 15,04-11-2016 18:00:00 CET (ISO: 2016-11-04T18:00:00+01:00),24-11-2016 18:00:00 CET (ISO: 2016-11-24T18:00:00+01:00),"259.242,92 €",BOE-B-2016-53539,"434.741,55 €","0,00 €",Sin puja mínima,Sin tramos,"21.737,08 €","250.000,00 €",,,,
SUB-JA-2016-14988,JUDICIAL EN VÍA DE APREMIO,4334 0000 06 0051 15,04-11-2016 18:00:00 CET (ISO: 2016-11-04T18:00:00+01:00),24-11-2016 18:00:00 CET (ISO: 2016-11-24T18:00:00+01:00),"114.023,08 €",BOE-B-2016-54213,Ver valor de subasta en cada lote (los lotes se subastan de forma independiente),Ver valor de tasación en cada lote (los lotes se subastan de forma independiente),Ver puja mínima de cada lote (adjudicación independiente),Ver tramos de cada lote (adjudicación independiente),Ver importe de consignación de cada lote (adjudicación independiente),,,,,
SUB-JA-2016-35242,JUDICIAL EN VÍA DE APREMIO,4883 0000 05 0108 14,04-11-2016 18:00:00 CET (ISO: 2016-11-04T18:00:00+01:00),24-11-2016 18:00:00 CET (ISO: 2016-11-24T18:00:00+01:00),"4.280.927,74 €",BOE-B-2016-54195,"7.444.141,26 €","0,00 €",Sin puja mínima,Sin tramos,"372.207,06 €","3.722.300,00 €",,,,
SUB-JA-2016-34246,JUDICIAL EN VÍA DE APREMIO,2459 0000 00 0013 16,04-11-2016 18:00:00 CET (ISO: 2016-11-04T18:00:00+01:00),24-11-2016 18:00:00 CET (ISO: 2016-11-24T18:00:00+01:00),"38.686,07 €",BOE-B-2016-53912,Ver valor de subasta en cada lote (los lotes se subastan de forma independiente),Ver valor de tasación en cada lote (los lotes se subastan de forma independiente),Ver puja mínima de cada lote (adjudicación independiente),Ver tramos de cada lote (adjudicación independiente),Ver importe de consignación de cada lote (adjudicación independiente),,,,,
SUB-JA-2016-30338,JUDICIAL EN VÍA DE APREMIO,2460 0000 18 1020 14,04-11-2016 18:00:00 CET (ISO: 2016-11-04T18:00:00+01:00),24-11-2016 18:00:00 CET (ISO: 2016-11-24T18:00:00+01:00),"172.477,68 €",BOE-B-2016-53916,"251.237,73 €","0,00 €",Sin puja mínima,Sin tramos,"12.561,89 €","C/ CAVA BAJA Nº 32, 4 IZDA. INTERIOR",28005,MADRID,Madrid,"175.870,00 €"
SUB-JA-2016-25681,JUDICIAL EN VÍA DE APREMIO,0765 0000 06 0079 15,04-11-2016 18:00:00 CET (ISO: 2016-11-04T18:00:00+01:00),24-11-2016 18:00:00 CET (ISO: 2016-11-24T18:00:00+01:00),"138.471,23 €",BOE-B-2016-53826,"549.825,00 €","0,00 €",Sin puja mínima,Sin tramos,"27.491,25 €","c/ Torre de Claramunt, Dr. Fleming y Plaça de la Sardana",08700,IGUALADA,Barcelona,"138.500,00 €"
SUB-JA-2016-29678,JUDICIAL EN VÍA DE APREMIO,2460 0000 18 0460 15,04-11-2016 18:00:00 CET (ISO: 2016-11-04T18:00:00+01:00),24-11-2016 18:16:34 CET (ISO: 2016-11-24T18:16:34+01:00),"864.853,47 €",BOE-B-2016-53922,"1.156.275,04 €","0,00 €",Sin puja mínima,Sin tramos,"57.813,75 €",CALLE LOS PANADEROS Nº 6,28035,MADRID,Madrid,"818.815,27 €"
SUB-JA-2016-34317,JUDICIAL EN VÍA DE APREMIO,2460 0000 18 1236 14,04-11-2016 18:00:00 CET (ISO: 2016-11-04T18:00:00+01:00),24-11-2016 18:27:46 CET (ISO: 2016-11-24T18:27:46+01:00),"128.155,43 €",BOE-B-2016-53887,"211.500,00 €","0,00 €",Sin puja mínima,Sin tramos,"10.575,00 €","CALLE PONZANO 8, 1º INT. IZDA",28010,MADRID,Madrid,"132.759,00 €"
