0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
SUB-JA-2022-188791,JUDICIAL EN VÍA DE APREMIO,4987 0000 06 5631 17,03-03-2022 18:00:00 CET (ISO: 2022-03-03T18:00:00+01:00),23-03-2022 18:00:00 CET (ISO: 2022-03-23T18:00:00+01:00),"135.106,07 €",BOE-B-2022-6130,"101.475,21 €","0,00 €",Sin puja mínima,"2.029,50 €","5.073,76 €",CALLE: Avda. Penedès Nº 2 esquina con Av. Catalunya núm. 23 de Castellví de la,08732,Castellví de la Marca,Barcelona,"156.271,50 €"
SUB-JA-2021-180866,JUDICIAL EN VÍA DE APREMIO,3998 0000 06 0773 17,03-03-2022 18:00:00 CET (ISO: 2022-03-03T18:00:00+01:00),23-03-2022 18:00:00 CET (ISO: 2022-03-23T18:00:00+01:00),"150.748,37 €",BOE-B-2022-6123,"210.600,00 €","0,00 €",Sin puja mínima,Sin tramos,"10.530,00 €","C/ PALACIOS MALAVER, 19 BAJO",41003,SEVILLA,Sevilla,"193.112,00 €"
SUB-NE-2022-1015991,NOTARIAL EN VENTA EXTRAJUDICIAL,03-03-2022 18:00:00 CET (ISO: 2022-03-03T18:00:00+01:00),23-03-2022 18:00:00 CET (ISO: 2022-03-23T18:00:00+01:00),BOE-B-2022-6212,Ver valor de subasta en cada lote (los lotes se subastan de forma independiente),Ver valor de tasación en cada lote (los lotes se subastan de forma independiente),Ver puja mínima de cada lote (adjudicación independiente),Ver tramos de cada lote (adjudicación independiente),Ver importe de consignación de cada lote (adjudicación independiente),,,,,,,
SUB-JC-2022-188678,JUDICIAL CONCURSAL,3924 0000 00 1005 09,03-03-2022 18:00:00 CET (ISO: 2022-03-03T18:00:00+01:00),23-03-2022 18:17:08 CET (ISO: 2022-03-23T18:17:08+01:00),"0,01 €",BOE-B-2022-6122,Ver valor de subasta en cada lote (los lotes se subastan de forma independiente),Ver valor de tasación en cada lote (los lotes se subastan de forma independiente),Ver puja mínima de cada lote (adjudicación independiente),Ver tramos de cada lote (adjudicación independiente),Ver importe de consignación de cada lote (adjudicación independiente),,,,,
SUB-JA-2021-182838,JUDICIAL EN VÍA DE APREMIO,5107 0000 06 0218 21,11-02-2022 18:00:00 CET (ISO: 2022-02-11T18:00:00+01:00),23-03-2022 18:30:38 CET (ISO: 2022-03-23T18:30:38+01:00),"72.800,00 €",BOE-B-2022-3607,"80.000,00 €","0,00 €",Sin puja mínima,"1.600,00 €","4.000,00 €",AVDA. VALENCIA 6,25001,LLEIDA,Lleida,"41.600,00 €"
SUB-JA-2022-189271,JUDICIAL EN VÍA DE APREMIO,4900 0000 05 1207 19,03-03-2022 18:00:00 CET (ISO: 2022-03-03T18:00:00+01:00),23-03-2022 18:54:43 CET (ISO: 2022-03-23T18:54:43+01:00),"5.850,49 €",BOE-B-2022-6134,"81.337,78 €","0,00 €",Sin puja mínima,"1.626,75 €","4.066,88 €","C. VENTURA RODRIGUEZ 13-15, 3º B",50007,ZARAGOZA,Zaragoza,"56.936,25 €"
SUB-JA-2022-187610,JUDICIAL EN VÍA DE APREMIO,4294 0000 05 0151 21,03-03-2022 18:00:00 CET (ISO: 2022-03-03T18:00:00+01:00),23-03-2022 19:02:01 CET (ISO: 2022-03-23T19:02:01+01:00),"36.346,46 €",BOE-B-2022-6115,"46.064,47 €","0,00 €",Sin puja mínima,"921,28 €","2.303,22 €",Calle Amapola nº 37,45760,LA GUARDIA,Toledo,"33.166,08 €"
SUB-JA-2021-185296,JUDICIAL EN VÍA DE APREMIO,2255 0000 05 0755 14,03-03-2022 18:00:00 CET (ISO: 2022-03-03T18:00:00+01:00),23-03-2022 19:22:52 CET (ISO: 2022-03-23T19:22:52+01:00),"384.382,69 €",BOE-B-2022-6103,"397.557,73 €","0,00 €",Sin puja mínima,"7.951,15 €","19.877,88 €","C/ Víctor Pradera 3, 6º Izd",26001,Logroño,La Rioja,"278.290,25 €"
SUB-JA-2022-189473,JUDICIAL EN VÍA DE APREMIO,3878 0000 05 0080 21,03-03-2022 18:00:00 CET (ISO: 2022-03-03T18:00:00+01:00),23-03-2022 20:22:04 CET (ISO: 2022-03-23T20:22:04+01:00),"97.768,16 €",BOE-B-2022-6124,Ver valor de subasta en cada lote (los lotes se subastan de forma independiente),Ver valor de tasación en cada lote (los lotes se subastan de forma independiente),Ver puja mínima de cada lote (adjudicación independiente),Ver tramos de cada lote (adjudicación independiente),Ver importe de consignación de cada lote (adjudicación independiente),,,,,
SUB-JA-2022-189604,JUDICIAL EN VÍA DE APREMIO,0516 0000 05 0115 16,03-03-2022 18:00:00 CET (ISO: 2022-03-03T18:00:00+01:00),23-03-2022 21:19:13 CET (ISO: 2022-03-23T21:19:13+01:00),"40.300,00 €",BOE-B-2022-6088,"40.300,00 €","0,00 €",Sin puja mínima,"806,00 €","2.015,00 €","c/ Joan Esquena i Torró 9, 3º7º Malgrat de Mar",08380,MALGRAT DE MAR,Barcelona,"54.002,00 €"
