0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
SUB-JA-2019-127504,JUDICIAL EN VÍA DE APREMIO,3265 0000 06 0604 13,13-06-2019 18:00:00 CET (ISO: 2019-06-13T18:00:00+02:00),03-07-2019 20:02:51 CET (ISO: 2019-07-03T20:02:51+02:00),"41.376,73 €",BOE-B-2019-25788,"221.918,98 €","0,00 €",Sin puja mínima,"4.438,37 €","11.095,94 €",CALLE JOSE MARIA PEMAN NUMERO 10 EN ALGETE,28110,ALGETE,Madrid,"199.726,65 €"
SUB-NE-2019-326190,NOTARIAL EN VENTA EXTRAJUDICIAL,11-06-2019 18:00:00 CET (ISO: 2019-06-11T18:00:00+02:00),01-07-2019 18:00:00 CET (ISO: 2019-07-01T18:00:00+02:00),"53.366,39 €",BOE-B-2019-25697,No consta,"76.255,64 €","76.255,64 €",Sin tramos,"3.812,78 €","CALLE SAGUNTO, 2, 1ºB",12006,Castellón de la Plana/Castelló de la Plana,Castellón,,
SUB-JA-2019-127859,JUDICIAL EN VÍA DE APREMIO,4902 0000 05 0038 12,11-06-2019 18:00:00 CET (ISO: 2019-06-11T18:00:00+02:00),01-07-2019 18:00:00 CET (ISO: 2019-07-01T18:00:00+02:00),"28.764,69 €",BOE-B-2019-25523,"7.583,33 €","7.583,33 €",Sin puja mínima,"151,66 €","379,16 €","CALLE EDUARDO JESUS TABOADA Nº 15, PLANTA SEGUND, PUERTA DERECHA",50002,ZARAGOZA,Zaragoza,"11.981,14 €"
SUB-NE-2019-346030,NOTARIAL EN VENTA EXTRAJUDICIAL,11-06-2019 18:00:00 CET (ISO: 2019-06-11T18:00:00+02:00),01-07-2019 18:00:00 CET (ISO: 2019-07-01T18:00:00+02:00),"3.773.893,49 €",BOE-B-2019-25696,No consta,"3.080.199,00 €","1.540.099,50 €","10.000,00 €","154.009,95 €","calle Santiago Rusiñol, 39.",08860,Castelldefels,Barcelona,,
SUB-JA-2018-98729,JUDICIAL EN VÍA DE APREMIO,3491 0000 06 0292 15,11-06-2019 18:00:00 CET (ISO: 2019-06-11T18:00:00+02:00),01-07-2019 18:38:30 CET (ISO: 2019-07-01T18:38:30+02:00),"954.558,29 €",BOE-B-2019-25389,Ver valor de subasta en cada lote (los lotes se subastan de forma independiente),Ver valor de tasación en cada lote (los lotes se subastan de forma independiente),Ver puja mínima de cada lote (adjudicación independiente),Ver tramos de cada lote (adjudicación independiente),Ver importe de consignación de cada lote (adjudicación independiente),,,,,
SUB-JA-2019-125848,JUDICIAL EN VÍA DE APREMIO,2281 0000 06 0098 14,11-06-2019 18:00:00 CET (ISO: 2019-06-11T18:00:00+02:00),01-07-2019 18:43:05 CET (ISO: 2019-07-01T18:43:05+02:00),"50.000,00 €",BOE-B-2019-25509,"100.000,00 €","0,00 €",Sin puja mínima,"2.000,00 €","5.000,00 €",C/VALDEPEÑAS 10,29740,TORRE DEL MAR,Málaga,"100.000,00 €"
SUB-JA-2019-127473,JUDICIAL EN VÍA DE APREMIO,4933 0000 06 0083 17,11-06-2019 18:00:00 CET (ISO: 2019-06-11T18:00:00+02:00),01-07-2019 18:45:26 CET (ISO: 2019-07-01T18:45:26+02:00),"98.730,84 €",BOE-B-2019-25278,"203.700,00 €","0,00 €",Sin puja mínima,Sin tramos,"10.185,00 €","RIERA BUSCARONS, 12-14",08360,CANET DE MAR,Barcelona,"101.850,00 €"
SUB-JA-2019-128220,JUDICIAL EN VÍA DE APREMIO,0808 0000 06 0869 17,11-06-2019 18:00:00 CET (ISO: 2019-06-11T18:00:00+02:00),01-07-2019 18:49:21 CET (ISO: 2019-07-01T18:49:21+02:00),"178.683,86 €",BOE-B-2019-25454,"339.700,00 €","0,00 €",Sin puja mínima,"6.794,00 €","16.985,00 €",Calle Poeta Folguera nº 14,08201,Sabadell,Barcelona,"210.614,00 €"
SUB-JA-2019-124381,JUDICIAL EN VÍA DE APREMIO,1906 0000 06 1038 11,11-06-2019 18:00:00 CET (ISO: 2019-06-11T18:00:00+02:00),01-07-2019 18:55:57 CET (ISO: 2019-07-01T18:55:57+02:00),"70.989,22 €",BOE-B-2019-25284,"163.800,00 €","0,00 €",Sin puja mínima,Sin tramos,"8.190,00 €",URBANIZACION NUEVO PORTIL PLANTA TERCER BLOQUE PLANTA 3ª PORTAL 7,21450,CARTAYA,Huelva,"110.155,46 €"
SUB-JA-2018-114088,JUDICIAL EN VÍA DE APREMIO,4159 0000 06 1067 15,11-06-2019 18:00:00 CET (ISO: 2019-06-11T18:00:00+02:00),01-07-2019 19:07:07 CET (ISO: 2019-07-01T19:07:07+02:00),"3.587.084,44 €",BOE-B-2019-25515,Ver valor de subasta en cada lote (los lotes se subastan de forma independiente),Ver valor de tasación en cada lote (los lotes se subastan de forma independiente),Ver puja mínima de cada lote (adjudicación independiente),Ver tramos de cada lote (adjudicación independiente),Ver importe de consignación de cada lote (adjudicación independiente),,,,,
SUB-NE-2019-346028,NOTARIAL EN VENTA EXTRAJUDICIAL,07-06-2019 18:00:00 CET (ISO: 2019-06-07T18:00:00+02:00),27-06-2019 18:00:00 CET (ISO: 2019-06-27T18:00:00+02:00),"161.434,60 €",BOE-B-2019-24906,No consta,"313.200,00 €",Sin puja mínima,Sin tramos,"15.660,00 €","CALLE ROSER, NÚMERO 12",08787,Pobla de Claramunt (La),Barcelona,,
SUB-JA-2019-128325,JUDICIAL EN VÍA DE APREMIO,4134 0000 06 0009 14,07-06-2019 18:00:00 CET (ISO: 2019-06-07T18:00:00+02:00),27-06-2019 18:00:00 CET (ISO: 2019-06-27T18:00:00+02:00),"124.356,79 €",BOE-B-2019-24789,"105.924,39 €","0,00 €",Sin puja mínima,"2.118,49 €","5.296,22 €",CALLE VERDEJO 118,41807,ESPARTINAS,Sevilla,"152.531,28 €"
SUB-JA-2017-62296,JUDICIAL EN VÍA DE APREMIO,4933 0000 06 0744 13,07-06-2019 18:00:00 CET (ISO: 2019-06-07T18:00:00+02:00),27-06-2019 18:18:15 CET (ISO: 2019-06-27T18:18:15+02:00),"179.290,25 €",BOE-B-2019-24733,"318.707,96 €","0,00 €",Sin puja mínima,Sin tramos,"15.935,40 €","calle Francesc Saula Pujals, 19",08370,CALELLA,Barcelona,"189.631,25 €"
SUB-JA-2018-100409,JUDICIAL EN VÍA DE APREMIO,0429 0000 06 0056 17,07-06-2019 18:00:00 CET (ISO: 2019-06-07T18:00:00+02:00),27-06-2019 18:53:00 CET (ISO: 2019-06-27T18:53:00+02:00),"108.912,22 €",BOE-B-2019-24762,"176.040,00 €","0,00 €",Sin puja mínima,Sin tramos,"8.802,00 €","c/ Progreso nº 78, bajo B",07420,Sa Pobla,Baleares,"76.200,00 €"
SUB-JA-2019-122360,JUDICIAL EN VÍA DE APREMIO,2935 0000 05 1382 12,06-06-2019 18:00:00 CET (ISO: 2019-06-06T18:00:00+02:00),26-06-2019 18:00:00 CET (ISO: 2019-06-26T18:00:00+02:00),"83.733,85 €",BOE-B-2019-24514,"136.389,28 €","0,00 €",Sin puja mínima,"2.727,78 €","6.819,46 €","C/ PEDRO ESPINOSA, 33; 5º B",29007,MÁLAGA,Málaga,"136.389,00 €"
SUB-NE-2019-346026,NOTARIAL EN VENTA EXTRAJUDICIAL,06-06-2019 18:00:00 CET (ISO: 2019-06-06T18:00:00+02:00),26-06-2019 18:00:00 CET (ISO: 2019-06-26T18:00:00+02:00),"288.143,56 €",BOE-B-2019-24727,No consta,"289.094,70 €",Sin puja mínima,Sin tramos,"14.454,74 €","AVENIDA VIRGEN DEL VAL, 1, 11º DERECHA, LETRA D",Alcalá de Henares,Madrid,,,
SUB-JA-2019-127198,JUDICIAL EN VÍA DE APREMIO,5096 0000 06 0462 16,06-06-2019 18:00:00 CET (ISO: 2019-06-06T18:00:00+02:00),26-06-2019 18:37:02 CET (ISO: 2019-06-26T18:37:02+02:00),"231.088,27 €",BOE-B-2019-24474,Ver valor de subasta en cada lote (los lotes se subastan de forma independiente),Ver valor de tasación en cada lote (los lotes se subastan de forma independiente),Ver puja mínima de cada lote (adjudicación independiente),Ver tramos de cada lote (adjudicación independiente),Ver importe de consignación de cada lote (adjudicación independiente),,,,,
SUB-JA-2019-127886,JUDICIAL EN VÍA DE APREMIO,4884 0000 06 0064 18,06-06-2019 18:00:00 CET (ISO: 2019-06-06T18:00:00+02:00),26-06-2019 20:05:21 CET (ISO: 2019-06-26T20:05:21+02:00),"25.405,12 €",BOE-B-2019-24491,"100.480,42 €","0,00 €",Sin puja mínima,"2.009,60 €","5.024,02 €","PASEO CONSTITUCION Nº 37, 1º B",50600,EJEA DE LOS CABALLEROS,Zaragoza,"48.230,40 €"
SUB-JC-2019-127408,JUDICIAL CONCURSAL,4345 0000 52 0578 12,06-06-2019 18:00:00 CET (ISO: 2019-06-06T18:00:00+02:00),26-06-2019 20:15:39 CET (ISO: 2019-06-26T20:15:39+02:00),"181.505,82 €",BOE-B-2019-24576,"65.280,00 €","0,00 €",Sin puja mínima,"1.305,60 €","3.264,00 €","VIVIENDA EN LA CALLE FEDERICO GARCIA LORCA 1, 4º A DE VALDEMORO, MADRID",28342,MADRID,Madrid,"92.697,60 €"
