0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
SUB-JV-2021-166279,JUDICIAL VOLUNTARIA,4921 0000 05 0131 19,09-03-2021 18:00:00 CET (ISO: 2021-03-09T18:00:00+01:00),29-03-2021 21:07:02 CET (ISO: 2021-03-29T21:07:02+02:00),"0,00 €",BOE-B-2021-10855,"6.318,71 €","0,00 €",Sin puja mínima,"126,37 €","315,93 €",C/ CONSTITUCIÓN 18,50172,ALFAJARÍN,Zaragoza,"6.697,61 €"
SUB-JA-2021-160976,JUDICIAL EN VÍA DE APREMIO,3815 0000 05 0143 18,04-03-2021 18:00:00 CET (ISO: 2021-03-04T18:00:00+01:00),25-03-2021 01:33:26 CET (ISO: 2021-03-25T01:33:26+01:00),"9.959,91 €",BOE-B-2021-9678,"30.000,00 €","30.000,00 €",Sin puja mínima,"600,00 €","1.500,00 €","EDIFICIO LAS TORTUGAS, Bungalow nº 37, Arona",38650,Los Cristianos,Santa Cruz de Tenerife,"76.800,00 €"
SUB-JA-2021-163820,JUDICIAL EN VÍA DE APREMIO,1377 0000 06 0080 20,05-03-2021 18:00:00 CET (ISO: 2021-03-05T18:00:00+01:00),25-03-2021 18:00:00 CET (ISO: 2021-03-25T18:00:00+01:00),"113.546,68 €",BOE-B-2021-9955,"138.454,78 €","138.454,78 €",Sin puja mínima,Sin tramos,"6.922,73 €",CALLE FRAY LUIS DE LEON S/N,13420,MALAGON,Ciudad Real,"69.228,00 €"
SUB-JA-2021-165883,JUDICIAL EN VÍA DE APREMIO,3533 0000 06 1092 15,05-03-2021 18:00:00 CET (ISO: 2021-03-05T18:00:00+01:00),25-03-2021 18:00:00 CET (ISO: 2021-03-25T18:00:00+01:00),"141.634,67 €",BOE-B-2021-10041,"291.984,00 €","0,00 €",Sin puja mínima,"5.839,68 €","14.599,20 €",NO CONSTA,04620,VERA,Almería,"87.595,20 €"
SUB-JA-2020-162451,JUDICIAL EN VÍA DE APREMIO,2960 0000 06 1562 16,05-03-2021 18:00:00 CET (ISO: 2021-03-05T18:00:00+01:00),25-03-2021 18:00:00 CET (ISO: 2021-03-25T18:00:00+01:00),"140.027,64 €",BOE-B-2021-9986,Ver valor de subasta en cada lote (los lotes se subastan de forma independiente),Ver valor de tasación en cada lote (los lotes se subastan de forma independiente),Ver puja mínima de cada lote (adjudicación independiente),Ver tramos de cada lote (adjudicación independiente),Ver importe de consignación de cada lote (adjudicación independiente),,,,,
SUB-JA-2021-166606,JUDICIAL EN VÍA DE APREMIO,2460 0000 18 0804 15,05-03-2021 18:00:00 CET (ISO: 2021-03-05T18:00:00+01:00),25-03-2021 18:41:48 CET (ISO: 2021-03-25T18:41:48+01:00),"75.108,85 €",BOE-B-2021-9980,"135.620,00 €","0,00 €",Sin puja mínima,Sin tramos,"6.781,00 €","CALLE PUERTO DE ARLABAN Nº 82, BAJO LETRA B DE MADRID",28053,MADRID,Madrid,"48.916,00 €"
SUB-JA-2021-167051,JUDICIAL EN VÍA DE APREMIO,3465 0000 06 0321 14,05-03-2021 18:00:00 CET (ISO: 2021-03-05T18:00:00+01:00),25-03-2021 18:44:57 CET (ISO: 2021-03-25T18:44:57+01:00),"161.779,47 €",BOE-B-2021-9944,"315.300,00 €","0,00 €",Sin puja mínima,Sin tramos,"15.765,00 €",C/ INGLATERRA S/N VIVIENDA Nº 2,35580,PLAYA BLANCA - YAIZA,Las Palmas,"189.189,00 €"
SUB-JA-2021-166988,JUDICIAL EN VÍA DE APREMIO,0149 0000 06 0669 19,05-03-2021 18:00:00 CET (ISO: 2021-03-05T18:00:00+01:00),25-03-2021 18:53:51 CET (ISO: 2021-03-25T18:53:51+01:00),"501.228,00 €",BOE-B-2021-9949,"812.900,00 €","0,00 €","406.450,00 €","16.258,00 €","40.645,00 €","Barranco del Agua, parcelas H1, H2, H3, H4, H5 y H6, Calle Principal de la Sierra (Altea)",03590,ALTEA,Alicante,"634.062,00 €"
SUB-JA-2021-166899,JUDICIAL EN VÍA DE APREMIO,2459 0000 00 0004 16,05-03-2021 18:00:00 CET (ISO: 2021-03-05T18:00:00+01:00),25-03-2021 19:31:44 CET (ISO: 2021-03-25T19:31:44+01:00),"96.857,48 €",BOE-B-2021-9985,"182.582,00 €","0,00 €","200,00 €","3.651,64 €","9.129,10 €","CALLE CARLOS AURIOLES 23, CUARTO INTERIOR B",28018,MADRID,Madrid,"22.109,84 €"
SUB-JA-2021-165575,JUDICIAL EN VÍA DE APREMIO,4259 0000 06 0225 20,05-03-2021 18:00:00 CET (ISO: 2021-03-05T18:00:00+01:00),25-03-2021 20:45:55 CET (ISO: 2021-03-25T20:45:55+01:00),"221.356,00 €",BOE-B-2021-10035,"221.356,00 €","0,00 €",Sin puja mínima,"4.427,12 €","11.067,80 €","AVENIDA DE LOS MARINEROS, 13",03182,TORREVIEJA,Alicante,"163.803,44 €"
SUB-JA-2021-163452,JUDICIAL EN VÍA DE APREMIO,0624 0000 05 1165 13,05-03-2021 18:00:00 CET (ISO: 2021-03-05T18:00:00+01:00),25-03-2021 21:34:08 CET (ISO: 2021-03-25T21:34:08+01:00),"92.180,36 €",BOE-B-2021-9948,"432.072,00 €","432.072,00 €",Sin puja mínima,"8.641,44 €","21.603,60 €","CALLE DIPUTACIÓN, Nº 35-37, ÁTICO",08015,BARCELONA,Barcelona,"216.036,00 €"
SUB-JA-2021-165550,JUDICIAL EN VÍA DE APREMIO,5051 0000 06 0360 19,04-03-2021 18:00:00 CET (ISO: 2021-03-04T18:00:00+01:00),24-03-2021 18:00:00 CET (ISO: 2021-03-24T18:00:00+01:00),"37.489,98 €",BOE-B-2021-9656,"89.502,12 €","0,00 €",Sin puja mínima,"1.790,04 €","4.475,11 €","CALLE DIVISION 52 NUMERO 17, 1ºIZQUIERDA",22006,HUESCA,Huesca,"39.380,88 €"
SUB-JA-2021-167015,JUDICIAL EN VÍA DE APREMIO,3765 0000 06 0086 20,04-03-2021 18:00:00 CET (ISO: 2021-03-04T18:00:00+01:00),24-03-2021 18:51:25 CET (ISO: 2021-03-24T18:51:25+01:00),"202.192,16 €",BOE-B-2021-9711,Ver valor de subasta en cada lote (los lotes se subastan de forma independiente),Ver valor de tasación en cada lote (los lotes se subastan de forma independiente),Ver puja mínima de cada lote (adjudicación independiente),Ver tramos de cada lote (adjudicación independiente),Ver importe de consignación de cada lote (adjudicación independiente),,,,,
SUB-JA-2019-139510,JUDICIAL EN VÍA DE APREMIO,2925 0000 06 1690 15,04-03-2021 18:00:00 CET (ISO: 2021-03-04T18:00:00+01:00),24-03-2021 19:12:14 CET (ISO: 2021-03-24T19:12:14+01:00),"59.473,67 €",BOE-B-2021-9648,"143.539,00 €","0,00 €",Sin puja mínima,"2.870,78 €","7.176,95 €","C/ URUGUAY Nº 4, 1º",29640,FUENGIROLA,Málaga,"83.252,62 €"
SUB-JA-2021-167079,JUDICIAL EN VÍA DE APREMIO,1375 0000 78 0033 16,04-03-2021 18:00:00 CET (ISO: 2021-03-04T18:00:00+01:00),24-03-2021 19:24:07 CET (ISO: 2021-03-24T19:24:07+01:00),"72.068,92 €",BOE-B-2021-9619,Ver valor de subasta en cada lote (los lotes se subastan de forma independiente),Ver valor de tasación en cada lote (los lotes se subastan de forma independiente),Ver puja mínima de cada lote (adjudicación independiente),Ver tramos de cada lote (adjudicación independiente),Ver importe de consignación de cada lote (adjudicación independiente),,,,,
SUB-JA-2021-166663,JUDICIAL EN VÍA DE APREMIO,2219 0000 05 0193 10,02-03-2021 18:00:00 CET (ISO: 2021-03-02T18:00:00+01:00),23-03-2021 01:41:48 CET (ISO: 2021-03-23T01:41:48+01:00),"116.629,38 €",BOE-B-2021-9446,"60.686,74 €","0,00 €",Sin puja mínima,"1.213,73 €","3.034,33 €",conjunto residencial los abetos,25520,Vielha,Lérida,"72.823,80 €"
SUB-JA-2021-166210,JUDICIAL EN VÍA DE APREMIO,4859 0000 05 0924 19,02-03-2021 18:00:00 CET (ISO: 2021-03-02T18:00:00+01:00),23-03-2021 02:02:20 CET (ISO: 2021-03-23T02:02:20+01:00),"16.418,28 €",BOE-B-2021-9279,"98.640,00 €","98.640,00 €","50,00 €","1.972,80 €","4.932,00 €",Urb. El Poblet de Benidoleig,03759,BENIDOLEIG,Alicante,"61.206,80 €"
SUB-JA-2020-158922,JUDICIAL EN VÍA DE APREMIO,0479 0000 06 0319 16,02-03-2021 18:00:00 CET (ISO: 2021-03-02T18:00:00+01:00),22-03-2021 18:00:00 CET (ISO: 2021-03-22T18:00:00+01:00),"90.138,13 €",BOE-B-2021-9374,"157.784,00 €","157.784,00 €",Sin puja mínima,"3.155,68 €","7.889,20 €","VIVENDA SITA EN CALLE PASAJE PICOS DE EUROPA NÚMERO 6, 2º 12- PALMA DE",07008,PALMA DE MALLORCA,Baleares,"78.892,00 €"
SUB-JA-2021-164435,JUDICIAL EN VÍA DE APREMIO,3815 0000 05 0263 15,02-03-2021 18:00:00 CET (ISO: 2021-03-02T18:00:00+01:00),22-03-2021 18:00:00 CET (ISO: 2021-03-22T18:00:00+01:00),"133.099,49 €",BOE-B-2021-9386,"225.415,13 €","0,00 €",Sin puja mínima,"4.508,30 €","11.270,76 €","Edificio Colina II, Apartamento 520, Arona",38650,Los Cristianos,Santa Cruz de Tenerife,"121.724,10 €"
SUB-NE-2021-675940,NOTARIAL EN VENTA EXTRAJUDICIAL,02-03-2021 18:00:00 CET (ISO: 2021-03-02T18:00:00+01:00),22-03-2021 18:00:00 CET (ISO: 2021-03-22T18:00:00+01:00),"170.420,29 €",BOE-B-2021-9612,No consta,"215.949,23 €",Sin puja mínima,Sin tramos,"10.797,46 €",calle huelva 5; 2º-3ª,Badalona,Barcelona,,,
SUB-JA-2021-166687,JUDICIAL EN VÍA DE APREMIO,4264 0000 06 0135 20,02-03-2021 18:00:00 CET (ISO: 2021-03-02T18:00:00+01:00),22-03-2021 18:00:00 CET (ISO: 2021-03-22T18:00:00+01:00),"6.323,40 €",BOE-B-2021-9215,"11.112,00 €","0,00 €",Sin puja mínima,Sin tramos,"555,60 €",C/ Mazaleón nº 7,44600,ALCAÑIZ,Teruel,"5.556,00 €"
SUB-NE-2021-685933,NOTARIAL EN VENTA EXTRAJUDICIAL,02-03-2021 18:00:00 CET (ISO: 2021-03-02T18:00:00+01:00),22-03-2021 18:00:00 CET (ISO: 2021-03-22T18:00:00+01:00),"68.822,66 €",BOE-B-2021-9613,No consta,"160.500,00 €",Sin puja mínima,Sin tramos,"8.025,00 €","CIUDAD VERGEL 46, PUERTA 1",39300,Torrelavega,Cantabria,"96.310,00 €",
SUB-JA-2021-166244,JUDICIAL EN VÍA DE APREMIO,2334 0000 06 1686 14,02-03-2021 18:00:00 CET (ISO: 2021-03-02T18:00:00+01:00),22-03-2021 18:00:00 CET (ISO: 2021-03-22T18:00:00+01:00),"284.829,76 €",BOE-B-2021-9211,"774.000,00 €","0,00 €",Sin puja mínima,"15.480,00 €","38.700,00 €",CAMINO DE LA ESGARAVITA Nº 40,28805,ALCALA DE HENARES,Madrid,"387.000,00 €"
SUB-NE-2021-655944,NOTARIAL EN VENTA EXTRAJUDICIAL,02-03-2021 18:00:00 CET (ISO: 2021-03-02T18:00:00+01:00),22-03-2021 18:00:00 CET (ISO: 2021-03-22T18:00:00+01:00),"219.204,83 €",BOE-B-2021-9607,No consta,"261.000,00 €",Sin puja mínima,Sin tramos,"13.050,00 €",CALLE PIO XII NUMERO 6 1º,41310,Brenes,Sevilla,"130.501,00 €",
SUB-JA-2021-165958,JUDICIAL EN VÍA DE APREMIO,2459 0000 00 0092 18,02-03-2021 18:00:00 CET (ISO: 2021-03-02T18:00:00+01:00),22-03-2021 18:00:00 CET (ISO: 2021-03-22T18:00:00+01:00),"198.966,88 €",BOE-B-2021-9336,"233.953,20 €","0,00 €","200,00 €","4.679,06 €","11.697,66 €","calle DOCTOR SANCHEZ 49, 3ºB",28018,MADRID,Madrid,"75.064,96 €"
SUB-JA-2021-164788,JUDICIAL EN VÍA DE APREMIO,1512 0000 06 0052 17,02-03-2021 18:00:00 CET (ISO: 2021-03-02T18:00:00+01:00),22-03-2021 18:08:14 CET (ISO: 2021-03-22T18:08:14+01:00),"96.201,81 €",BOE-B-2021-9249,Ver valor de subasta en cada lote (los lotes se subastan de forma independiente),Ver valor de tasación en cada lote (los lotes se subastan de forma independiente),Ver puja mínima de cada lote (adjudicación independiente),Ver tramos de cada lote (adjudicación independiente),Ver importe de consignación de cada lote (adjudicación independiente),,,,,
SUB-JA-2021-162680,JUDICIAL EN VÍA DE APREMIO,2373 0000 05 0152 19,02-03-2021 18:00:00 CET (ISO: 2021-03-02T18:00:00+01:00),22-03-2021 18:37:42 CET (ISO: 2021-03-22T18:37:42+01:00),"62.810,61 €",BOE-B-2021-9296,"83.744,12 €","83.744,12 €","41.872,06 €","1.674,88 €","4.187,21 €",CALLE IBIZA,28970,HUMANES DE MADRID,Madrid,"82.069,18 €"
SUB-JA-2020-159515,JUDICIAL EN VÍA DE APREMIO,0624 0000 05 0208 18,02-03-2021 18:00:00 CET (ISO: 2021-03-02T18:00:00+01:00),22-03-2021 18:39:40 CET (ISO: 2021-03-22T18:39:40+01:00),"433.850,45 €",BOE-B-2021-9243,Ver valor de subasta en cada lote (los lotes se subastan de forma independiente),Ver valor de tasación en cada lote (los lotes se subastan de forma independiente),Ver puja mínima de cada lote (adjudicación independiente),Ver tramos de cada lote (adjudicación independiente),Ver importe de consignación de cada lote (adjudicación independiente),,,,,
SUB-JA-2020-143966,JUDICIAL EN VÍA DE APREMIO,2918 0000 06 0941 16,02-03-2021 18:00:00 CET (ISO: 2021-03-02T18:00:00+01:00),22-03-2021 18:54:22 CET (ISO: 2021-03-22T18:54:22+01:00),"226.872,62 €",BOE-B-2021-9295,"303.993,29 €","0,00 €",Sin puja mínima,Sin tramos,"15.199,66 €",CALLE CAPITAN NUMERO 22,29640,FUENGIROLA,Málaga,"83.010,10 €"
SUB-JA-2021-165347,JUDICIAL EN VÍA DE APREMIO,4280 0000 06 0171 17,02-03-2021 18:00:00 CET (ISO: 2021-03-02T18:00:00+01:00),22-03-2021 19:01:07 CET (ISO: 2021-03-22T19:01:07+01:00),"1.170.174,80 €",BOE-B-2021-9271,"3.737.158,19 €","0,00 €",Sin puja mínima,"74.743,16 €","186.857,90 €",CALLE FRANCISCO RODRIGUEZ,15001,A CORUÑA,A Coruña,"1.868.579,00 €"
SUB-JA-2021-164436,JUDICIAL EN VÍA DE APREMIO,4921 0000 06 0199 20,02-03-2021 18:00:00 CET (ISO: 2021-03-02T18:00:00+01:00),22-03-2021 19:04:20 CET (ISO: 2021-03-22T19:04:20+01:00),"70.434,14 €",BOE-B-2021-9455,"256.351,40 €","0,00 €",Sin puja mínima,"5.127,02 €","12.817,57 €","c/ARIAS 40,3ºA",50010,ZARAGOZA,Zaragoza,"82.032,32 €"
SUB-JA-2021-166364,JUDICIAL EN VÍA DE APREMIO,4119 0000 06 1896 14,02-03-2021 18:00:00 CET (ISO: 2021-03-02T18:00:00+01:00),22-03-2021 19:06:36 CET (ISO: 2021-03-22T19:06:36+01:00),"73.161,39 €",BOE-B-2021-9423,"107.400,00 €","0,00 €",Sin puja mínima,"2.148,00 €","5.370,00 €",CALLE ODIEL S/N,41900,CAMAS,Sevilla,"19.332,00 €"
SUB-JA-2021-166184,JUDICIAL EN VÍA DE APREMIO,3152 0000 06 0778 20,02-03-2021 18:00:00 CET (ISO: 2021-03-02T18:00:00+01:00),22-03-2021 19:29:53 CET (ISO: 2021-03-22T19:29:53+01:00),"219.137,16 €",BOE-B-2021-9376,Ver valor de subasta en cada lote (los lotes se subastan de forma independiente),Ver valor de tasación en cada lote (los lotes se subastan de forma independiente),Ver puja mínima de cada lote (adjudicación independiente),Ver tramos de cada lote (adjudicación independiente),Ver importe de consignación de cada lote (adjudicación independiente),,,,,
SUB-JA-2021-159452,JUDICIAL EN VÍA DE APREMIO,4120 0000 02 0255 16,02-03-2021 18:00:00 CET (ISO: 2021-03-02T18:00:00+01:00),22-03-2021 19:34:33 CET (ISO: 2021-03-22T19:34:33+01:00),"1.220.043,23 €",BOE-B-2021-9427,Ver valor de subasta en cada lote (los lotes se subastan de forma independiente),Ver valor de tasación en cada lote (los lotes se subastan de forma independiente),Ver puja mínima de cada lote (adjudicación independiente),Ver tramos de cada lote (adjudicación independiente),Ver importe de consignación de cada lote (adjudicación independiente),,,,,
SUB-JV-2021-166803,JUDICIAL VOLUNTARIA,4921 0000 05 0053 20,02-03-2021 18:00:00 CET (ISO: 2021-03-02T18:00:00+01:00),22-03-2021 19:40:48 CET (ISO: 2021-03-22T19:40:48+01:00),"229.151,42 €",BOE-B-2021-9458,"229.151,42 €","0,00 €",Sin puja mínima,"4.583,02 €","11.457,57 €",c/CARMELO BETORE 2 8C,50014,ZARAGOZA,Zaragoza,"187.903,82 €"
SUB-JA-2021-166167,JUDICIAL EN VÍA DE APREMIO,2246 0000 06 0599 17,26-02-2021 18:00:00 CET (ISO: 2021-02-26T18:00:00+01:00),18-03-2021 18:00:00 CET (ISO: 2021-03-18T18:00:00+01:00),"429.686,26 €",BOE-B-2021-8538,Ver valor de subasta en cada lote (los lotes se subastan de forma independiente),Ver valor de tasación en cada lote (los lotes se subastan de forma independiente),Ver puja mínima de cada lote (adjudicación independiente),Ver tramos de cada lote (adjudicación independiente),Ver importe de consignación de cada lote (adjudicación independiente),,,,,
SUB-JA-2021-166352,JUDICIAL EN VÍA DE APREMIO,3830 0000 06 0738 15,26-02-2021 18:00:00 CET (ISO: 2021-02-26T18:00:00+01:00),18-03-2021 18:00:00 CET (ISO: 2021-03-18T18:00:00+01:00),"48.581,00 €",BOE-B-2021-8616,"225.100,00 €","0,00 €",Sin puja mínima,"4.502,00 €","11.255,00 €","C/ GREGAL Nº 2, APART. 56 A, BAJO PORTAL 3",03570,VILLAJOYOSA,Alicante,"157.570,00 €"
SUB-JA-2021-166367,JUDICIAL EN VÍA DE APREMIO,4291 0000 06 0556 18,26-02-2021 18:00:00 CET (ISO: 2021-02-26T18:00:00+01:00),18-03-2021 18:00:00 CET (ISO: 2021-03-18T18:00:00+01:00),"2.020.508,65 €",BOE-B-2021-8562,Ver valor de subasta en cada lote (los lotes se subastan de forma independiente),Ver valor de tasación en cada lote (los lotes se subastan de forma independiente),Ver puja mínima de cada lote (adjudicación independiente),Ver tramos de cada lote (adjudicación independiente),Ver importe de consignación de cada lote (adjudicación independiente),,,,,
SUB-NE-2021-655938,NOTARIAL EN VENTA EXTRAJUDICIAL,26-02-2021 18:00:00 CET (ISO: 2021-02-26T18:00:00+01:00),18-03-2021 18:00:00 CET (ISO: 2021-03-18T18:00:00+01:00),"281.218,74 €",BOE-B-2021-8792,No consta,"369.721,66 €",Sin puja mínima,Sin tramos,"18.468,08 €",CALLE LAGUNAS DE RUIDERA 39,Parla,Madrid,,,
SUB-JA-2020-151733,JUDICIAL EN VÍA DE APREMIO,4961 0000 06 0228 19,26-02-2021 18:00:00 CET (ISO: 2021-02-26T18:00:00+01:00),18-03-2021 18:00:00 CET (ISO: 2021-03-18T18:00:00+01:00),"115.186,00 €",BOE-B-2021-8539,"288.655,54 €","0,00 €",Sin puja mínima,Sin tramos,"14.432,77 €",Calle Picaio numero 9,12150,villafranca del Cid,Castellón,"144.327,77 €"
SUB-JV-2020-161125,JUDICIAL VOLUNTARIA,5079 0000 49 0076 19,26-02-2021 18:00:00 CET (ISO: 2021-02-26T18:00:00+01:00),18-03-2021 18:02:08 CET (ISO: 2021-03-18T18:02:08+01:00),"173.250,00 €",BOE-B-2021-8604,"173.250,00 €","0,00 €","168.000,00 €","3.465,00 €","8.662,50 €","C/ ANGEL SALLENT Nº 56, 5º-1ª",08224,TERRASSA,Barcelona,"168.000,00 €"
