0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
SUB-JA-2022-197989,JUDICIAL EN VÍA DE APREMIO,4962 0000 06 0345 21,18-10-2022 18:00:00 CET (ISO: 2022-10-18T18:00:00+02:00),07-11-2022 22:10:51 CET (ISO: 2022-11-07T22:10:51+01:00),"45.372,21 €",BOE-B-2022-31438,"86.354,57 €","0,00 €","25.906,37 €","1.727,09 €","4.317,72 €","C/Mogent, 11 3-2",08440,Cardedeu,Barcelona,"84.627,43 €"
SUB-JA-2022-201654,JUDICIAL EN VÍA DE APREMIO,2084 0000 06 0588 16,18-10-2022 18:00:00 CET (ISO: 2022-10-18T18:00:00+02:00),07-11-2022 22:11:19 CET (ISO: 2022-11-07T22:11:19+01:00),"274.499,10 €",BOE-B-2022-31486,"230.000,00 €","0,00 €",Sin puja mínima,"4.600,00 €","11.500,00 €",CAMINO REAL Nº 7-PTA DERECHA,28229,VILLANUEVA DEL PARDILLO,Madrid,"248.400,00 €"
SUB-JA-2022-198661,JUDICIAL EN VÍA DE APREMIO,4296 0000 05 0105 12,30-09-2022 18:00:00 CET (ISO: 2022-09-30T18:00:00+02:00),07-11-2022 22:19:16 CET (ISO: 2022-11-07T22:19:16+01:00),"658.411,95 €",BOE-B-2022-29286,Ver valor de subasta en cada lote (los lotes se subastan de forma independiente),Ver valor de tasación en cada lote (los lotes se subastan de forma independiente),Ver puja mínima de cada lote (adjudicación independiente),Ver tramos de cada lote (adjudicación independiente),Ver importe de consignación de cada lote (adjudicación independiente),,,,,
SUB-AT-2022-22R4186001430,AGENCIA TRIBUTARIA,18-10-2022 18:00:00 CET (ISO: 2022-10-18T18:00:00+02:00),07-11-2022 22:30:46 CET (ISO: 2022-11-07T22:30:46+01:00),BOE-B-2022-31586,"143.073,10 €","177.770,67 €",Sin puja mínima,"2.000,00 €","7.153,65 €",CL ARGENTINITA 58 2 02 D,04007,ALMERIA,Almería,"160.000,00 €",,
SUB-JA-2021-185275,JUDICIAL EN VÍA DE APREMIO,3012 0000 06 1054 12,18-10-2022 18:00:00 CET (ISO: 2022-10-18T18:00:00+02:00),07-11-2022 22:54:22 CET (ISO: 2022-11-07T22:54:22+01:00),"398.740,62 €",BOE-B-2022-31463,"430.000,00 €","0,00 €",Sin puja mínima,"8.600,00 €","21.500,00 €",c/ sand-santa clara golf 23 (a) santa clara P-1.8,29603,MARBELLA,Málaga,"412.800,00 €"
SUB-AT-2022-22R4186001461,AGENCIA TRIBUTARIA,18-10-2022 18:00:00 CET (ISO: 2022-10-18T18:00:00+02:00),07-11-2022 23:16:40 CET (ISO: 2022-11-07T23:16:40+01:00),BOE-B-2022-31569,"320.870,24 €","320.870,24 €",Sin puja mínima,"2.000,00 €","16.043,51 €",PG PAGO DEL DOMINGO 0,18151,OGIJARES,Granada,"144.000,00 €",,
SUB-JA-2022-193064,JUDICIAL EN VÍA DE APREMIO,3728 3124 78 0546 19,18-10-2022 18:00:00 CET (ISO: 2022-10-18T18:00:00+02:00),07-11-2022 23:50:30 CET (ISO: 2022-11-07T23:50:30+01:00),"176.979,16 €",BOE-B-2022-31535,Ver valor de subasta en cada lote (los lotes se subastan de forma independiente),Ver valor de tasación en cada lote (los lotes se subastan de forma independiente),Ver puja mínima de cada lote (adjudicación independiente),Ver tramos de cada lote (adjudicación independiente),Ver importe de consignación de cada lote (adjudicación independiente),,,,,
SUB-JA-2022-196629,JUDICIAL EN VÍA DE APREMIO,4513 0000 19 0656 20,18-10-2022 18:00:00 CET (ISO: 2022-10-18T18:00:00+02:00),07-11-2022 23:57:42 CET (ISO: 2022-11-07T23:57:42+01:00),"50.556,16 €",BOE-B-2022-31541,"93.250,39 €","93.250,39 €",Sin puja mínima,Sin tramos,"4.662,51 €","calle Plus Ultra, nº 18, 2º, 3ª.",46006,VALENCIA,Valencia/València,"65.500,00 €"
SUB-JA-2022-198477,JUDICIAL EN VÍA DE APREMIO,4237 0000 06 1399 20,06-09-2022 18:00:00 CET (ISO: 2022-09-06T18:00:00+02:00),06-11-2022 15:50:54 CET (ISO: 2022-11-06T15:50:54+01:00),"394.014,98 €",BOE-B-2022-26280,Ver valor de subasta en cada lote (los lotes se subastan de forma independiente),Ver valor de tasación en cada lote (los lotes se subastan de forma independiente),Ver puja mínima de cada lote (adjudicación independiente),Ver tramos de cada lote (adjudicación independiente),Ver importe de consignación de cada lote (adjudicación independiente),,,,,
SUB-JV-2022-199455,JUDICIAL VOLUNTARIA,0916 0000 05 0072 22,14-10-2022 18:00:00 CET (ISO: 2022-10-14T18:00:00+02:00),04-11-2022 01:11:44 CET (ISO: 2022-11-04T01:11:44+01:00),"0,00 €",BOE-B-2022-31117,"33.120,76 €","0,00 €",Sin puja mínima,"662,42 €","8.280,19 €","Calle Boggiero nº 129, 2º Izda.",50003,Zaragoza,Zaragoza,"18.547,76 €"
