0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
SUB-NE-2020-415946,NOTARIAL EN VENTA EXTRAJUDICIAL,26-06-2020 18:00:00 CET (ISO: 2020-06-26T18:00:00+02:00),16-07-2020 18:00:00 CET (ISO: 2020-07-16T18:00:00+02:00),BOE-B-2020-18473,Ver valor de subasta en cada lote (los lotes se subastan de forma independiente),Ver valor de tasación en cada lote (los lotes se subastan de forma independiente),Ver puja mínima de cada lote (adjudicación independiente),Ver tramos de cada lote (adjudicación independiente),Ver importe de consignación de cada lote (adjudicación independiente),,,,,,,
SUB-JA-2019-116236,JUDICIAL EN VÍA DE APREMIO,0183 0000 05 1433 16,26-06-2020 18:00:00 CET (ISO: 2020-06-26T18:00:00+02:00),16-07-2020 18:00:00 CET (ISO: 2020-07-16T18:00:00+02:00),"150.697,11 €",BOE-B-2020-18316,"157.439,12 €","0,00 €",Sin puja mínima,"3.148,78 €","7.871,95 €","UR. LOMAS DE CABO ROIG, 6(R), BL.2, ESC1, PL2,PT.11",03189,ORIHUELA,Alicante,"75.570,72 €"
SUB-JA-2020-148874,JUDICIAL EN VÍA DE APREMIO,2459 0000 00 0049 17,26-06-2020 18:00:00 CET (ISO: 2020-06-26T18:00:00+02:00),16-07-2020 18:00:36 CET (ISO: 2020-07-16T18:00:36+02:00),"92.588,09 €",BOE-B-2020-18307,"220.008,65 €","0,00 €","200,00 €","4.400,17 €","11.000,43 €","AVENIDA PABLO NERUDA 56, PLANTA 2, PUERTA CENTRAL",28038,MADRID,Madrid,"110.204,25 €"
SUB-JA-2020-148816,JUDICIAL EN VÍA DE APREMIO,2459 0000 00 1195 13,26-06-2020 18:00:00 CET (ISO: 2020-06-26T18:00:00+02:00),16-07-2020 18:28:08 CET (ISO: 2020-07-16T18:28:08+02:00),"254.159,39 €",BOE-B-2020-18309,"302.600,00 €","0,00 €","200,00 €","6.052,00 €","15.130,00 €","CALLE ALCALÁ 344, 4º B",28027,MADRID,Madrid,"193.864,00 €"
SUB-NE-2020-415945,NOTARIAL EN VENTA EXTRAJUDICIAL,26-06-2020 18:00:00 CET (ISO: 2020-06-26T18:00:00+02:00),16-07-2020 19:21:06 CET (ISO: 2020-07-16T19:21:06+02:00),BOE-B-2020-18475,Ver valor de subasta en cada lote (los lotes se subastan de forma independiente),Ver valor de tasación en cada lote (los lotes se subastan de forma independiente),Ver puja mínima de cada lote (adjudicación independiente),Ver tramos de cada lote (adjudicación independiente),Ver importe de consignación de cada lote (adjudicación independiente),,,,,,,
SUB-NE-2020-425945,NOTARIAL EN VENTA EXTRAJUDICIAL,25-06-2020 18:00:00 CET (ISO: 2020-06-25T18:00:00+02:00),15-07-2020 18:00:00 CET (ISO: 2020-07-15T18:00:00+02:00),"132.002,62 €",BOE-B-2020-18264,No consta,"132.125,00 €",Sin puja mínima,Sin tramos,"6.606,25 €","GUADALHORCE, Nº 8 5º 4º",Terrassa,Barcelona,,,
SUB-JA-2020-147429,JUDICIAL EN VÍA DE APREMIO,4033 0000 05 1491 08,25-06-2020 18:00:00 CET (ISO: 2020-06-25T18:00:00+02:00),15-07-2020 18:00:00 CET (ISO: 2020-07-15T18:00:00+02:00),"5.845,84 €",BOE-B-2020-18135,"33.421,35 €","0,00 €",Sin puja mínima,"668,42 €","1.671,06 €","C/ PERIODISTA RAMON RESA, 15",41012,SEVILLA,Sevilla,"20.052,60 €"
SUB-JA-2017-77244,JUDICIAL EN VÍA DE APREMIO,0162 0000 05 1639 14,25-06-2020 18:00:00 CET (ISO: 2020-06-25T18:00:00+02:00),15-07-2020 18:00:00 CET (ISO: 2020-07-15T18:00:00+02:00),"87.777,88 €",BOE-B-2020-18099,"144.419,50 €","144.419,50 €",Sin puja mínima,Sin tramos,"7.220,98 €","C/ G, BL.9 BW.81, EL OLIVO DE ORO",03130,SANTA POLA,Alicante,"115.600,00 €"
SUB-JA-2020-149083,JUDICIAL EN VÍA DE APREMIO,3291 0000 06 0423 14,25-06-2020 18:00:00 CET (ISO: 2020-06-25T18:00:00+02:00),15-07-2020 18:00:00 CET (ISO: 2020-07-15T18:00:00+02:00),"269.121,10 €",BOE-B-2020-18105,Ver valor de subasta en cada lote (los lotes se subastan de forma independiente),Ver valor de tasación en cada lote (los lotes se subastan de forma independiente),Ver puja mínima de cada lote (adjudicación independiente),Ver tramos de cada lote (adjudicación independiente),Ver importe de consignación de cada lote (adjudicación independiente),,,,,
SUB-JA-2020-149014,JUDICIAL EN VÍA DE APREMIO,0879 0000 05 0143 16,25-06-2020 18:00:00 CET (ISO: 2020-06-25T18:00:00+02:00),15-07-2020 19:09:17 CET (ISO: 2020-07-15T19:09:17+02:00),"6.360,00 €",BOE-B-2020-18115,"55.277,26 €","55.277,26 €",Sin puja mínima,"1.105,54 €","2.763,86 €","C/ ANTOFAGASTA Nº 3, 2º B",29018,MÁLAGA,Málaga,"21.005,26 €"
