0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
SUB-JA-2021-168488,JUDICIAL EN VÍA DE APREMIO,0777 0000 06 0843 12,06-05-2022 18:00:00 CET (ISO: 2022-05-06T18:00:00+02:00),26-05-2022 19:15:15 CET (ISO: 2022-05-26T19:15:15+02:00),"1.323.569,12 €",BOE-B-2022-13606,Ver valor de subasta en cada lote (los lotes se subastan de forma independiente),Ver valor de tasación en cada lote (los lotes se subastan de forma independiente),Ver puja mínima de cada lote (adjudicación independiente),Ver tramos de cada lote (adjudicación independiente),Ver importe de consignación de cada lote (adjudicación independiente),,,,,
SUB-JV-2022-189526,JUDICIAL VOLUNTARIA,2986 0000 05 0547 15,06-05-2022 18:00:00 CET (ISO: 2022-05-06T18:00:00+02:00),26-05-2022 20:12:02 CET (ISO: 2022-05-26T20:12:02+02:00),"0,00 €",BOE-B-2022-13620,"61.040,00 €","0,00 €",Sin puja mínima,"1.220,80 €","3.052,00 €","Avda.\ Pere el Cerimoniós 29-B, 5 - 1",43206,Reus,Tarragona,"59.819,20 €"
SUB-JA-2022-190107,JUDICIAL EN VÍA DE APREMIO,2914 0000 06 0687 15,06-05-2022 18:00:00 CET (ISO: 2022-05-06T18:00:00+02:00),26-05-2022 21:22:13 CET (ISO: 2022-05-26T21:22:13+02:00),"95.217,66 €",BOE-B-2022-13584,"183.600,00 €","0,00 €",Sin puja mínima,"3.672,00 €","9.180,00 €","C/GRANATE Nº 1. ES:D1, PL:3, PT5. BALCONES DE LOS HIDALGOS",29692,MANILVA,Málaga,"128.520,00 €"
SUB-JA-2022-189733,JUDICIAL EN VÍA DE APREMIO,5367 0000 06 0001 19,06-05-2022 18:00:00 CET (ISO: 2022-05-06T18:00:00+02:00),26-05-2022 21:36:42 CET (ISO: 2022-05-26T21:36:42+02:00),"109.836,52 €",BOE-B-2022-13594,"177.940,00 €","177.940,00 €",Sin puja mínima,"3.558,80 €","8.897,00 €",SA TANCA DE NA TRENCA,07850,SANTA EULALIA DEL RIO (PARROQUIA DE SAN CARLOS),Illes Balears,"195.734,00 €"
SUB-JA-2022-190931,JUDICIAL EN VÍA DE APREMIO,5342 0000 05 0233 21,06-05-2022 18:00:00 CET (ISO: 2022-05-06T18:00:00+02:00),26-05-2022 21:38:44 CET (ISO: 2022-05-26T21:38:44+02:00),"172.965,60 €",BOE-B-2022-13623,"517.234,19 €","0,00 €",Sin puja mínima,"10.344,68 €","25.861,70 €","C/ San Bernardo, 57 y 59",41018,SEVILLA,Sevilla,"424.131,88 €"
SUB-JA-2022-191286,JUDICIAL EN VÍA DE APREMIO,1554 0000 06 0088 21,06-05-2022 18:00:00 CET (ISO: 2022-05-06T18:00:00+02:00),26-05-2022 23:13:28 CET (ISO: 2022-05-26T23:13:28+02:00),"56.050,00 €",BOE-B-2022-13586,Ver valor de subasta en cada lote (los lotes se subastan de forma independiente),Ver valor de tasación en cada lote (los lotes se subastan de forma independiente),Ver puja mínima de cada lote (adjudicación independiente),Ver tramos de cada lote (adjudicación independiente),Ver importe de consignación de cada lote (adjudicación independiente),,,,,
SUB-JV-2022-192124,JUDICIAL VOLUNTARIA,3118 0000 00 1635 20,15-04-2022 18:00:00 CET (ISO: 2022-04-15T18:00:00+02:00),25-05-2022 16:51:57 CET (ISO: 2022-05-25T16:51:57+02:00),"0,00 €",BOE-B-2022-11592,"294.588,00 €","294.588,00 €","206.211,60 €","5.891,76 €","14.729,40 €",GOLF RESORT TORREQUEBRADA BLOQUE 3 ESC. C 2ºA,29630,BENALMADENA,Málaga,"306.371,52 €"
SUB-JA-2021-179926,JUDICIAL EN VÍA DE APREMIO,2230 0000 06 0742 14,15-04-2022 18:00:00 CET (ISO: 2022-04-15T18:00:00+02:00),25-05-2022 18:24:51 CET (ISO: 2022-05-25T18:24:51+02:00),"2.333.369,40 €",BOE-B-2022-11602,Ver valor de subasta en cada lote (los lotes se subastan de forma independiente),Ver valor de tasación en cada lote (los lotes se subastan de forma independiente),Ver puja mínima de cada lote (adjudicación independiente),Ver tramos de cada lote (adjudicación independiente),Ver importe de consignación de cada lote (adjudicación independiente),,,,,
SUB-JA-2022-193193,JUDICIAL EN VÍA DE APREMIO,0346 0000 06 0817 20,03-05-2022 18:00:00 CET (ISO: 2022-05-03T18:00:00+02:00),24-05-2022 02:31:58 CET (ISO: 2022-05-24T02:31:58+02:00),"109.456,65 €",BOE-B-2022-13232,Ver valor de subasta en cada lote (los lotes se subastan de forma independiente),Ver valor de tasación en cada lote (los lotes se subastan de forma independiente),Ver puja mínima de cada lote (adjudicación independiente),Ver tramos de cada lote (adjudicación independiente),Ver importe de consignación de cada lote (adjudicación independiente),,,,,
SUB-JA-2022-189480,JUDICIAL EN VÍA DE APREMIO,0554 0000 06 1086 20,24-03-2022 18:00:00 CET (ISO: 2022-03-24T18:00:00+01:00),24-05-2022 20:59:59 CET (ISO: 2022-05-24T20:59:59+02:00),"281.869,36 €",BOE-B-2022-8753,"645.000,00 €","0,00 €",Sin puja mínima,"12.900,00 €","32.250,00 €","C/ Provença, 249-251 Sobreático puerta única",08008,Barcelona,Barcelona,"322.500,00 €"
