0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
SUB-NE-2018-325830,NOTARIAL EN VENTA EXTRAJUDICIAL,07-08-2018 18:00:00 CET (ISO: 2018-08-07T18:00:00+02:00),27-08-2018 18:00:00 CET (ISO: 2018-08-27T18:00:00+02:00),"247.295,51 €",BOE-B-2018-40148,No consta,"334.323,04 €",Sin puja mínima,Sin tramos,"16.716,15 €",CALLE SIERRA ALTO REY Nº 57,19209,Villanueva de la Torre,Guadalajara,,
SUB-NE-2018-345737,NOTARIAL EN VENTA EXTRAJUDICIAL,07-08-2018 18:00:00 CET (ISO: 2018-08-07T18:00:00+02:00),27-08-2018 18:00:00 CET (ISO: 2018-08-27T18:00:00+02:00),"33.675,85 €",BOE-B-2018-40145,No consta,"77.816,51 €",Sin puja mínima,Sin tramos,"3.890,83 €","CALLE CARRER CASANOVA ISABEL, 1-1",25250,Bellpuig,Lérida,,
SUB-JA-2018-103577,JUDICIAL EN VÍA DE APREMIO,3202 0000 06 1458 15,07-08-2018 18:00:00 CET (ISO: 2018-08-07T18:00:00+02:00),27-08-2018 18:10:05 CET (ISO: 2018-08-27T18:10:05+02:00),"278.895,35 €",BOE-B-2018-39986,"499.276,20 €","499.276,20 €",Sin puja mínima,"9.985,52 €","24.963,81 €",CALLE DE ALVAREZ CIENFUEGOS Nº 18,28850,TORREJON DE ARDOZ,Madrid,"279.594,56 €"
SUB-JA-2018-104471,JUDICIAL EN VÍA DE APREMIO,0865 0000 18 1546 14,07-08-2018 18:00:00 CET (ISO: 2018-08-07T18:00:00+02:00),27-08-2018 19:04:29 CET (ISO: 2018-08-27T19:04:29+02:00),"175.004,57 €",BOE-B-2018-39984,Ver valor de subasta en cada lote (los lotes se subastan de forma independiente),Ver valor de tasación en cada lote (los lotes se subastan de forma independiente),Ver puja mínima de cada lote (adjudicación independiente),Ver tramos de cada lote (adjudicación independiente),Ver importe de consignación de cada lote (adjudicación independiente),,,,,
SUB-JA-2018-89276,JUDICIAL EN VÍA DE APREMIO,0319 0000 06 0132 14,06-03-2018 18:00:00 CET (ISO: 2018-03-06T18:00:00+01:00),25-08-2018 15:49:59 CET (ISO: 2018-08-25T15:49:59+02:00),"48.671,05 €",BOE-B-2018-12875,"128.066,40 €","0,00 €",Sin puja mínima,Sin tramos,"6.403,32 €","CALLE ENEAS, Nº1, EDIFICIO TORREBLANCA, PARCELA BQ2, MANZANA F",03183,TORREVIEJA,Alicante,"48.000,00 €"
SUB-NE-2018-345731,NOTARIAL EN VENTA EXTRAJUDICIAL,02-08-2018 18:00:00 CET (ISO: 2018-08-02T18:00:00+02:00),22-08-2018 18:00:00 CET (ISO: 2018-08-22T18:00:00+02:00),"102.350,50 €",BOE-B-2018-39565,No consta,"114.492,23 €",Sin puja mínima,Sin tramos,"5.724,61 €",PLAÇA ALFRED BERNABEU Nº 1 - PL 3 - PTA 16ª,46870,Ontinyent,Valencia,,
SUB-JA-2018-104712,JUDICIAL EN VÍA DE APREMIO,3770 0000 05 0647 11,02-08-2018 18:00:00 CET (ISO: 2018-08-02T18:00:00+02:00),22-08-2018 19:42:24 CET (ISO: 2018-08-22T19:42:24+02:00),"12.119,48 €",BOE-B-2018-39417,"19.015,68 €","0,00 €",Sin puja mínima,"380,31 €","950,78 €","C/ TOSCAS DE SAN ANTONIO, Nº 56",38370,LA MATANZA,Santa Cruz de Tenerife,"14.832,09 €"
SUB-JA-2018-104115,JUDICIAL EN VÍA DE APREMIO,3698 0000 05 0119 15,02-08-2018 18:00:00 CET (ISO: 2018-08-02T18:00:00+02:00),22-08-2018 20:13:37 CET (ISO: 2018-08-22T20:13:37+02:00),"633.798,66 €",BOE-B-2018-39418,Ver valor de subasta en cada lote (los lotes se subastan de forma independiente),Ver valor de tasación en cada lote (los lotes se subastan de forma independiente),Ver puja mínima de cada lote (adjudicación independiente),Ver tramos de cada lote (adjudicación independiente),Ver importe de consignación de cada lote (adjudicación independiente),,,,,
SUB-NE-2018-335825,NOTARIAL EN VENTA EXTRAJUDICIAL,31-07-2018 18:00:00 CET (ISO: 2018-07-31T18:00:00+02:00),20-08-2018 18:00:00 CET (ISO: 2018-08-20T18:00:00+02:00),"154.665,41 €",BOE-B-2018-39401,No consta,"222.690,00 €",Sin puja mínima,Sin tramos,"11.034,50 €","CALLE ESTADELLA Nº 11, ENTRESUELO 1ª, BARCELONA",08030,Barcelona,Barcelona,,
SUB-JA-2018-103782,JUDICIAL EN VÍA DE APREMIO,2460 0000 18 1003 15,31-07-2018 18:00:00 CET (ISO: 2018-07-31T18:00:00+02:00),20-08-2018 19:36:51 CET (ISO: 2018-08-20T19:36:51+02:00),"80.182,01 €",BOE-B-2018-39196,"143.641,89 €","0,00 €",Sin puja mínima,"2.872,84 €","7.182,09 €","FINCA Nº 3.885 EN C/ RAMON PEREZ DE AYALA, Nº 154 - 1º C DE MADRID",28038,MADRID,Madrid,"94.803,72 €"
