0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
SUB-JA-2021-174274,JUDICIAL EN VÍA DE APREMIO,4900 0000 06 0224 16,10-06-2021 18:00:00 CET (ISO: 2021-06-10T18:00:00+02:00),01-07-2021 06:22:51 CET (ISO: 2021-07-01T06:22:51+02:00),"1.286,31 €",BOE-B-2021-28508,"49.810,55 €","49.810,55 €",Sin puja mínima,Sin tramos,"2.490,52 €",CALLE ARIAS NUM 20-22 4ºF,50010,ZARAGOZA,Zaragoza,"31.100,00 €"
SUB-JA-2021-173981,JUDICIAL EN VÍA DE APREMIO,0709 0000 06 0146 16,11-06-2021 18:00:00 CET (ISO: 2021-06-11T18:00:00+02:00),01-07-2021 18:00:00 CET (ISO: 2021-07-01T18:00:00+02:00),"81.082,32 €",BOE-B-2021-28646,"130.286,80 €","0,00 €",Sin puja mínima,"2.605,74 €","6.514,34 €",c/ CENTAURO 4-6 EDIFICIO LA ESTRELLA,38627,ARONA,Santa Cruz de Tenerife,"67.749,24 €"
SUB-JA-2021-173608,JUDICIAL EN VÍA DE APREMIO,2741 0000 06 0174 16,11-06-2021 18:00:00 CET (ISO: 2021-06-11T18:00:00+02:00),01-07-2021 18:49:56 CET (ISO: 2021-07-01T18:49:56+02:00),"144.831,64 €",BOE-B-2021-28708,"264.595,58 €","0,00 €",Sin puja mínima,"5.291,91 €","13.229,77 €",CALLE GOYA 78 MAS TRADER,08880,CUBELLES,Barcelona,"164.049,21 €"
SUB-JA-2020-163071,JUDICIAL EN VÍA DE APREMIO,3033 0000 06 0176 18,11-06-2021 18:00:00 CET (ISO: 2021-06-11T18:00:00+02:00),01-07-2021 19:05:39 CET (ISO: 2021-07-01T19:05:39+02:00),"160.577,71 €",BOE-B-2021-28680,Ver valor de subasta en cada lote (los lotes se subastan de forma independiente),Ver valor de tasación en cada lote (los lotes se subastan de forma independiente),Ver puja mínima de cada lote (adjudicación independiente),Ver tramos de cada lote (adjudicación independiente),Ver importe de consignación de cada lote (adjudicación independiente),,,,,
SUB-JA-2021-173996,JUDICIAL EN VÍA DE APREMIO,0219 0000 06 1704 20,11-06-2021 18:00:00 CET (ISO: 2021-06-11T18:00:00+02:00),01-07-2021 20:44:50 CET (ISO: 2021-07-01T20:44:50+02:00),"59.178,66 €",BOE-B-2021-28640,"99.400,00 €","0,00 €",Sin puja mínima,"1.988,00 €","4.970,00 €","C/ CÁNOVAS DEL CASTILLO, Nº41 piso 3º Izda tipo C",03012,ALICANTE,Alicante,"29.820,00 €"
SUB-JA-2021-174394,JUDICIAL EN VÍA DE APREMIO,3145 0000 06 0060 20,10-06-2021 18:00:00 CET (ISO: 2021-06-10T18:00:00+02:00),30-06-2021 18:00:00 CET (ISO: 2021-06-30T18:00:00+02:00),"558.594,34 €",BOE-B-2021-28500,Ver valor de subasta en cada lote (los lotes se subastan de forma independiente),Ver valor de tasación en cada lote (los lotes se subastan de forma independiente),Ver puja mínima de cada lote (adjudicación independiente),Ver tramos de cada lote (adjudicación independiente),Ver importe de consignación de cada lote (adjudicación independiente),,,,,
SUB-JA-2020-151724,JUDICIAL EN VÍA DE APREMIO,2376 0000 06 0527 13,10-06-2021 18:00:00 CET (ISO: 2021-06-10T18:00:00+02:00),30-06-2021 18:00:00 CET (ISO: 2021-06-30T18:00:00+02:00),"280.996,46 €",BOE-B-2021-28460,Ver valor de subasta en cada lote (los lotes se subastan de forma independiente),Ver valor de tasación en cada lote (los lotes se subastan de forma independiente),Ver puja mínima de cada lote (adjudicación independiente),Ver tramos de cada lote (adjudicación independiente),Ver importe de consignación de cada lote (adjudicación independiente),,,,,
SUB-JA-2021-174332,JUDICIAL EN VÍA DE APREMIO,1349 0000 06 0758 16,10-06-2021 18:00:00 CET (ISO: 2021-06-10T18:00:00+02:00),30-06-2021 18:00:00 CET (ISO: 2021-06-30T18:00:00+02:00),"46.192,39 €",BOE-B-2021-28505,"95.867,50 €","0,00 €",Sin puja mínima,"1.917,35 €","4.793,37 €",Polígono Las Fuentes,12579,ALCALA DE XIVERT,Castellón,"47.933,75 €"
SUB-JA-2021-173175,JUDICIAL EN VÍA DE APREMIO,0468 0000 06 0277 16,10-06-2021 18:00:00 CET (ISO: 2021-06-10T18:00:00+02:00),30-06-2021 18:33:20 CET (ISO: 2021-06-30T18:33:20+02:00),"244.883,66 €",BOE-B-2021-28482,"896.175,00 €","896.175,00 €",Sin puja mínima,"17.923,50 €","44.808,75 €",CALLE CEDRE 2(URB SON RAMONELL NOU),07141,MARRATXI,Baleares,"376.393,50 €"
SUB-JA-2021-172008,JUDICIAL EN VÍA DE APREMIO,0698 0000 06 0491 11,10-06-2021 18:00:00 CET (ISO: 2021-06-10T18:00:00+02:00),30-06-2021 19:06:20 CET (ISO: 2021-06-30T19:06:20+02:00),"133.290,53 €",BOE-B-2021-28455,"235.157,18 €","0,00 €",Sin puja mínima,"4.703,14 €","11.757,85 €",AVDA. MAR AZUL Nº 131,04711,EL EJIDO,Almería,"65.843,96 €"
SUB-JA-2021-174263,JUDICIAL EN VÍA DE APREMIO,1244 0000 06 0319 20,10-06-2021 18:00:00 CET (ISO: 2021-06-10T18:00:00+02:00),30-06-2021 20:24:20 CET (ISO: 2021-06-30T20:24:20+02:00),"268.695,36 €",BOE-B-2021-28453,Ver valor de subasta en cada lote (los lotes se subastan de forma independiente),Ver valor de tasación en cada lote (los lotes se subastan de forma independiente),Ver puja mínima de cada lote (adjudicación independiente),Ver tramos de cada lote (adjudicación independiente),Ver importe de consignación de cada lote (adjudicación independiente),,,,,
SUB-JA-2021-174363,JUDICIAL EN VÍA DE APREMIO,3765 0000 05 0051 21,08-06-2021 18:00:00 CET (ISO: 2021-06-08T18:00:00+02:00),29-06-2021 01:38:28 CET (ISO: 2021-06-29T01:38:28+02:00),"50.508,32 €",BOE-B-2021-28199,"73.665,90 €","0,00 €",Sin puja mínima,"1.473,31 €","3.683,29 €","r/ Manolo Martínez, 17",36210,vigo,Pontevedra,"72.192,19 €"
SUB-NE-2021-845953,NOTARIAL EN VENTA EXTRAJUDICIAL,08-06-2021 18:00:00 CET (ISO: 2021-06-08T18:00:00+02:00),28-06-2021 18:00:00 CET (ISO: 2021-06-28T18:00:00+02:00),"37.259,94 €",BOE-B-2021-28438,No consta,"72.898,88 €",Sin puja mínima,Sin tramos,"3.644,94 €",AVENIDA DE LA ESTACION Nº 56-6º-17ª,46230,Alginet,Valencia,,
SUB-NE-2021-835968,NOTARIAL EN VENTA EXTRAJUDICIAL,08-06-2021 18:00:00 CET (ISO: 2021-06-08T18:00:00+02:00),28-06-2021 18:00:00 CET (ISO: 2021-06-28T18:00:00+02:00),"139.831,34 €",BOE-B-2021-28437,No consta,"195.137,00 €",Sin puja mínima,Sin tramos,"9.756,85 €",CARRER FONERIA 3-11 2º 2ª,Manresa,Barcelona,,,
